"","FG0_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","AL0_hpft","I0_hpft","CF0_hpft","FG0_hpft","SA0_hpft","P0_hpft","Y0_hpft","I0_hpft","V0_hpft","TA0_hpft"
"2018-03-12",1446.11321398322,52463.9673893249,3767.47060850877,64.6392044939162,52463.9673893249,3767.47060850877,64.6392044939162,14601.7592746674,488.531977856749,15646.9746402521,1446.11321398322,NA,5163.55180721065,5774.01611445398,488.531977856749,6676.13768203003,5625.69458427131
"2018-03-13",1445.82716299947,52439.4211925328,3766.8198630209,64.7302026364919,52439.4211925328,3766.8198630209,64.7302026364919,14595.4699747449,488.152282911083,15660.2768542911,1445.82716299947,NA,5159.8104763591,5772.73968346369,488.152282911083,6677.70909487674,5630.3463845946
"2018-03-14",1445.53465371826,52414.7205367648,3766.202892303,64.8206887239457,52414.7205367648,3766.202892303,64.8206887239457,14589.3452552553,487.77107700511,15673.728094174,1445.53465371826,NA,5156.06948366069,5771.49260503481,487.77107700511,6679.32714429042,5635.06547827315
"2018-03-15",1445.23619085051,52389.8786948961,3765.62243044322,64.9106531316588,52389.8786948961,3765.62243044322,64.9106531316588,14583.3847697712,487.388795198946,15687.3249022594,1445.23619085051,NA,5152.32913028364,5770.2741984157,487.388795198946,6680.99202109407,5639.85450747484
"2018-03-16",1444.93228839341,52364.9089047818,3765.0811986317,65.0000846267572,52364.9089047818,3765.0811986317,65.0000846267572,14577.5879117194,487.005873474042,15701.0635424132,1444.93228839341,NA,5148.58969752615,5769.0837574362,487.005873474042,6682.70377171299,5644.71608333823
"2018-03-19",1444.62346520679,52339.8242927198,3764.58191242748,65.0889704383997,52339.8242927198,3764.58191242748,65.0889704383997,14571.9538313116,486.622748891226,15714.9399964556,1444.62346520679,NA,5144.8514491893,5767.92054026396,486.622748891226,6684.4622871525,5649.65279308733
"2018-03-20",1444.31025092591,52314.6378837726,3764.12727330184,65.1772966589703,52314.6378837726,3764.12727330184,65.1772966589703,14566.4814379418,486.239857062132,15728.949933681,1444.31025092591,NA,5141.11462898912,5766.78376989625,486.239857062132,6686.26731055746,5654.66718231406
"2018-03-21",1443.99319104925,52289.3623227846,3763.71993577596,65.2650481949351,52289.3623227846,3763.71993577596,65.2650481949351,14561.1693880459,485.857623627024,15743.0886947868,1443.99319104925,NA,5137.37946540872,5765.67263546778,485.857623627024,6688.11842821835,5659.7617595514
"2018-03-22",1443.67283880096,52264.0098930598,3763.36250678187,65.3522093586419,52264.0098930598,3763.36250678187,65.3522093586419,14556.0160997661,485.476462966302,15757.3512860834,1443.67283880096,NA,5133.64618233689,5764.58628197314,485.476462966302,6690.01503988985,5664.93897931974
"2018-03-23",1443.34975402171,52238.5921713206,3763.05753260356,65.4387645554223,52238.5921713206,3763.05753260356,65.4387645554223,14551.0197324114,485.096780011945,15771.732410852,1443.34975402171,NA,5129.91499399828,5763.5237974986,485.096780011945,6691.95637042649,5670.20124084802
"2018-03-26",1443.02447312592,52213.1203110048,3762.80749985151,65.5246977184653,52213.1203110048,3762.80749985151,65.5246977184653,14546.1782030551,484.718971851824,15786.2264799831,1443.02447312592,NA,5126.18610897677,5762.48423433912,484.718971851824,6693.94150620108,5675.55089998755
