"","IH00C1_hpft","SPX_hpft","FTSE_hpft"
"2016-01-29",2129.10029605691,1996.08839623458,6063.84419383016
"2016-02-01",2127.51410860178,1996.28627681342,6063.68103307748
"2016-02-02",2125.96806570426,1996.51161406238,6063.61486193129
"2016-02-03",2124.46265821829,1996.76460630603,6063.64602969188
"2016-02-04",2122.99830864129,1997.04541322746,6063.77482712615
"2016-02-05",2121.57536330397,1997.35415969046,NA
"2016-02-15",2120.19410479765,NA,6066.60073648207
"2016-02-16",2118.8547447912,1999.79466691564,6067.4111433154
"2016-02-17",2117.55741922852,2000.29839643195,6068.31675675705
"2016-02-18",2116.30221021134,2000.82918863542,6069.31665854034
"2016-02-19",2115.0891515787,2001.38670640408,6070.40991469222
"2016-02-22",2113.91823190581,2001.9705783076,6071.59555099203
"2016-02-23",2112.78938128176,2002.58039835587,6072.87254354185
"2016-02-24",2111.70248973377,2003.21573721614,6074.23985444519
"2016-02-25",2110.65739992231,2003.87613194527,6075.69640010324
"2016-02-26",2109.65391279884,2004.56108925298,6077.24101132676
"2016-02-29",2108.69174570966,2005.27009428144,6078.87249293229
"2016-03-01",2107.77054231821,2006.00260881343,6080.58965749423
"2016-03-02",2106.88986217253,2006.75806443991,6082.39132511771
"2016-03-03",2106.04919877797,2007.53588132133,6084.27634578968
"2016-03-04",2105.24801294738,2008.33547122359,6086.24359622839
"2016-03-07",2104.48573314845,2009.15624006947,6088.29197224282
"2016-03-08",2103.76178609298,2009.99759033201,6090.42041642827
"2016-03-09",2103.07559870519,2010.8589214269,6092.62791028086
"2016-03-10",2102.42659668516,2011.73962006418,6094.91344977238
"2016-03-11",2101.81419511971,2012.63906402582,6097.2760530685
"2016-03-14",2101.23778568841,2013.55662192966,6099.71471427214
"2016-03-15",2100.69673981049,2014.49166634162,6102.2284450594
"2016-03-16",2100.19041491779,2015.44357234218,6104.81628804874
"2016-03-17",2099.71815996982,2016.41171560634,6107.47730145963
"2016-03-18",2099.27932607941,2017.39547667707,6110.21057272516
"2016-03-21",2098.87327687666,2018.39424609166,6113.01522798628
"2016-03-22",2098.49938455695,2019.40742768288,6115.89042621704
"2016-03-23",2098.15705360987,2020.43443900947,6118.83535597348
"2016-03-24",2097.84571485643,2021.4747101932,6121.84923757822
"2016-03-25",2097.56482501165,NA,NA
"2016-03-28",2097.31385160173,2022.52767808351,NA
"2016-03-29",2097.09227729632,2023.59278550922,6124.93132453598
"2016-03-30",2096.89959033974,2024.66948130212,6128.08086399881
"2016-03-31",2096.73528141836,2025.75722728052,6131.29709525162
"2016-04-01",2096.59886506949,2026.85550149981,6134.5792886184
"2016-04-05",2096.48988132018,2029.08162205431,6141.33871982539
"2016-04-06",2096.40789830644,2030.2085063375,6144.81455491918
"2016-04-07",2096.35251579051,2031.34398242452,6148.35352117926
"2016-04-08",2096.32336155711,2032.48759889544,6151.95490900821
"2016-04-11",2096.32008176381,2033.63890869788,6155.6180040694
"2016-04-12",2096.34233409116,2034.7974710263,6159.34211370945
"2016-04-13",2096.3897963422,2035.9628485272,6163.12656367024
"2016-04-14",2096.46216593691,2037.13461497574,6166.9707140223
"2016-04-15",2096.5591703095,2038.31236335065,6170.8740074104
"2016-04-18",2096.68057068128,2039.49570549857,6174.83596837785
"2016-04-19",2096.82616350866,2040.68427079992,6178.85619292807
"2016-04-20",2096.99576720553,2041.87771130553,6182.93435092509
"2016-04-21",2097.18922423244,2043.07570391565,6187.07020585656
"2016-04-22",2097.40638779918,2044.27795054802,6191.26361517731
"2016-04-25",2097.64712732354,2045.48417312878,6195.51451668693
"2016-04-26",2097.91133305415,2046.69411313682,6199.82289744761
"2016-04-27",2098.19891142371,2047.90752953857,6204.18877155765
"2016-04-28",2098.5097868415,2049.12419990406,6208.61218812564
"2016-04-29",2098.84389752341,2050.34392133149,6213.09324409476
"2016-05-03",2099.20119247003,2052.79175607047,6217.63208344342
"2016-05-04",2099.58163132843,2054.01951034891,6222.22886205348
"2016-05-05",2099.98519681072,2055.24959581345,6226.88372256184
