"","T00C1_hpft","SPX_hpft","FTSE_hpft","IH00C1_hpft","IF00C1_hpft"
"2015-06-12",95.9782346619429,2081.86747557225,6741.93777910326,2937.1670625236,4261.86630340562
"2015-06-15",95.9824602833158,2081.36945362146,6737.44907812857,2927.07001948249,4257.77707022863
"2015-06-16",95.9870557268154,2080.85642627077,6732.88284601902,2916.98116609917,4253.41576249945
"2015-06-17",95.9920286149313,2080.32856667394,6728.24086349809,2906.90255479097,4248.78835646329
"2015-06-18",95.9973862158823,2079.78605436441,6723.52490187214,2896.83635223563,4243.90116557588
"2015-06-19",96.0031353712865,2079.22907718882,6718.73671273362,2886.78484849775,4238.76086085784
"2015-06-23",96.0092826138219,2078.07256088304,6708.95062899668,2876.75041158654,4233.37439858644
"2015-06-24",96.0158340697811,2077.47347541488,6703.95622267307,2866.73545341632,4227.74895380505
"2015-06-25",96.0227954110544,2076.86083875663,6698.89662086211,2856.74242965533,4221.89190717298
"2015-06-26",96.0301718441584,2076.23491879835,6693.77368040756,2846.77386932851,4215.81089995289
"2015-06-29",96.0379680701564,2075.59599394976,6688.58930317767,2836.83232727832,4209.51372441094
"2015-06-30",96.0461882444051,2074.94435306001,6683.34541581188,2826.92029354311,4203.00817140297
"2015-07-01",96.0548359030611,2074.28027755591,6678.04391679606,2817.04018291643,4196.30195105073
"2015-07-02",96.0639140464885,2073.60404397255,6672.68663750064,2807.19441882266,4189.40284721551
"2015-07-03",96.0734250902153,NA,6667.27538058656,2797.38537473578,4182.31858700361
"2015-07-06",96.0833708487813,2072.91593014279,6661.8119312641,2787.61539651947,4175.05687296682
"2015-07-07",96.0937527839517,2072.21621521231,NA,2777.88674679296,4167.62530410204
"2015-07-08",96.1045722899642,2071.50517660887,6656.2980410568,2768.20167543761,4160.03142382765
"2015-07-09",96.115830838042,2070.78309553168,6650.73540935014,2758.56241956739,4152.28258094172
"2015-07-10",96.1275297735102,2070.05024291816,6645.12566707816,2748.97110551514,4144.38583628267
"2015-07-13",96.1396704558181,2069.30688165641,6639.4704166094,2739.42985665306,4136.34810920323
"2015-07-14",96.152254171032,2068.55327735014,6633.7712719917,2729.9408393548,4128.17632823867
"2015-07-15",96.1652820317429,2067.78970812504,6628.02988798028,2720.5062446178,4119.87740086419
"2015-07-16",96.1787549098614,2067.01646880518,6622.24796892483,2711.1282562715,4111.45818223314
"2015-07-17",96.1926733774953,2066.23387058792,6616.42727114263,2701.80905297577,4102.92541941506
"2015-07-20",96.207037829523,2065.44224834519,6610.56962295907,2692.55083384025,4094.28581671382
"2015-07-21",96.2218484985066,2064.64196191845,6604.67691828032,2683.35583533825,4085.54608731027
"2015-07-22",96.2371054280887,2063.83339712367,6598.75112464028,2674.22629305428,4076.712884743
"2015-07-23",96.2528083800609,2063.01696233312,6592.79427752626,2665.16443539852,4067.79281437532
"2015-07-24",96.2689568652634,2062.19308671791,6586.80844077757,2656.17247357483,4058.79242720843
"2015-07-27",96.2855502528324,2061.36221562516,6580.79570395089,2647.25265211816,4049.71832219606
"2015-07-28",96.3025877428583,2060.52480161798,6574.75815371006,2638.40721970839,4040.57707903263
"2015-07-29",96.3200684339305,2059.68129985446,6568.69784544182,2629.63833728908,4031.37511127574
"2015-07-30",96.3379913119631,2058.83217901999,6562.61682648138,2620.94807651491,4022.1186726874
"2015-07-31",96.3563552760341,2057.97792800856,6556.51716991716,2612.33844652453,4012.81393023452
"2015-08-03",96.375159077244,2057.11905629861,6550.40099275836,2603.81136942474,4003.46689863574
"2015-08-04",96.3944011292436,2056.25609235916,6544.27046978653,2595.36868459312,3994.08346057693
"2015-08-05",96.4140795087312,2055.3895815743,6538.12783291738,2587.01214930913,3984.66934775725
"2015-08-06",96.4341920094996,2054.52008464885,6531.97537288755,2578.74347465171,3975.23022719195
"2015-08-07",96.4547360929678,2053.64818066167,6525.81546900929,2570.56431456841,3965.77167410175
"2015-08-10",96.4757089914749,2052.77446069552,6519.65058951458,2562.4762654906,3956.2991775506
"2015-08-11",96.4971077163217,2051.89952572149,6513.48328227934,2554.48088013069,3946.81818064862
"2015-08-12",96.5189289498932,2051.02399795966,6507.31618470053,2546.57971654332,3937.33415812827
"2015-08-13",96.541168834271,2050.14851292809,6501.15199661592,2538.77433605677,3927.85260720127
"2015-08-14",96.5638230200801,2049.27372062317,6494.99344426612,2531.06630058604,3918.37903725935
"2015-08-17",96.5868866531633,2048.40028478199,6488.84328166045,2523.45717800936,3908.91899396544
"2015-08-18",96.6103544974917,2047.52888661282,6482.70428585159,2515.94854370072,3899.47806027627
"2015-08-19",96.6342207933573,2046.66022966179,6476.57925929595,2508.54196441249,3890.06185836847
"2015-08-20",96.6584793220759,2045.7950378913,6470.47102246658,2501.23896004323,3880.67595069735
"2015-08-21",96.6831233423849,2044.93404888388,6464.38236560774,2494.0410019045,3871.32586587975
"2015-08-24",96.7081456134851,2044.07799606159,6458.31603656093,2486.94950168523,3862.01707785486
"2015-08-25",96.733538413789,2043.22758223962,6452.27466877756,2479.96575961586,3852.75496717337
"2015-08-26",96.7592936421848,2042.38344787042,6446.26066445648,2473.09087679075,3843.54461270898
