"","FG0_hpfc","USDCNH_hpfc","USDX_hpfc","GBPUSD_hpfc","EURUSD_hpfc","AUDUSD_hpfc","USDJPY_hpfc"
"2014-12-09",-58.0099471799092,0.00975780441104077,-0.879479123029233,0.00151309797524861,0.0242145609563863,-0.0107517863742087,4.29779548613534
"2014-12-10",-56.2016558794272,-0.000355598209686952,-1.49655083887635,0.0070508931216246,0.032930320522319,-0.00702895721716888,2.56835736949813
"2014-12-11",-58.4095841363614,0.0155276989237403,-1.16357782657491,0.00877982376327417,0.028947250592673,-0.012309500717449,3.58012575428333
"2014-12-12",-44.633683805578,0.0138082557949429,-1.58054429752165,0.00959968251329645,0.0371651303659197,-0.0120936395008777,3.03311049734706
"2014-12-15",-35.8738825978056,0.0169866259690166,-1.55743398213682,0.00271025835554917,0.0367837270749011,-0.0148815911050311,1.99731997566666
"2014-12-16",-41.1300897739723,0.0096633573032794,-2.12422995750731,0.0136113363057785,0.0462027925898888,-0.0134735680684517,0.77276131245369
"2014-12-17",-49.4021997661483,0.0180389906334587,-1.13091465693946,-0.0018972997405385,0.0303220635762413,-0.0214697767782394,2.76944080530559
"2014-12-18",-48.6900900049002,0.0364140628008436,-1.07746963566821,0.00888412848561524,0.0261412576009405,-0.0170704180520608,2.81736443239581
"2014-12-19",-41.9936174999545,0.0385891031901258,-0.803875981454248,0.0061554000376063,0.0218600796970444,-0.0181756838328524,3.42653702711671
"2014-12-22",-53.3126191344742,0.0333646261338915,-0.750114336675083,0.00171629029640055,0.0229782240918703,-0.0181857590073011,3.82696225828087
"2014-12-23",-53.6469144331693,0.044641130013538,-0.46616501141845,-0.00473342790141703,0.0193953759766547,-0.0209008209490151,4.46864237830604
"2014-12-24",-33.9963008834413,0.0379190994188719,-0.782008005705313,0.00110601757132005,0.0241112110443589,-0.0187210395143449,4.03157805769556
"2014-12-25",-35.3605537972169,0.0188990004868479,-0.957623126862084,0.00203440079833868,0.0270253969706756,-0.0169465759200596,3.65576811979876
"2014-12-26",-35.7394344337359,0.0290812836802007,-0.832989858965368,0.00295149540624341,0.0246375914647037,-0.0155775836444234,3.79120972147152
"2014-12-29",-5.13268943559007,0.0440663916495604,-0.768087290247996,-0.000242925819354117,0.023647441064314,-0.0131142091606606,3.99789850842232
"2014-12-30",15.4599493279058,0.0264547550245361,-1.08289416461852,0.00515090868716268,0.0254545821231978,-0.00755659250284787,2.73582855922549
"2014-12-31",11.0387521090014,0.0255467862194604,-0.897388908489775,0.00863277059180371,0.0211586412201388,-0.00820486828417832,2.92499229988611
"2015-01-05",17.603982769524,0.0341594530284552,-0.11877826373766,-0.0215958017666968,0.0098484430398938,-0.0129863485094308,2.47979261630357
"2015-01-06",19.1559006082324,0.017775612826086,0.0481992377309969,-0.0309641609277309,0.00723624843038111,-0.0111594738795315,1.31379192596404
"2015-01-07",16.6947576471385,0.0206976634740124,0.395601887339633,-0.0347456489175969,0.00211897303759884,-0.0129391100236139,1.84896924423506
"2015-01-08",9.22079799001851,0.0225259337342013,0.633452597039159,-0.0364404755458635,-0.000803798273106614,-0.00762536651101391,2.22531052110652
"2015-01-09",10.7342588396679,0.00896074381304062,0.121774115251144,-0.0276488362596847,0.00586751848774726,0.0022816524374291,1.08280094228274
"2015-01-12",-9.76462641262239,0.000202404605598996,0.110588928556718,-0.0254709114431746,0.0067325076418688,-0.00151815424712441,0.781424773608907
"2015-01-13",-10.2756288126691,-0.00134877669705393,0.289919473199299,-0.0261068700515313,0.00199075108558376,7.51114233910641e-05,0.191165833347556
"2015-01-14",-6.79851536999845,-0.00419249298751281,-0.0102118602908263,-0.0181568705112661,0.00494182793227579,0.000161348064552493,-0.467992383252586
"2015-01-15",-3.33304884657324,0.0116715633991398,0.110217198774649,-0.0234210604574036,-0.0106146835275802,0.00774045426088105,-1.51606645995833
"2015-01-16",-16.8789891941487,0.0362437018608478,0.371228925307193,-0.0246995800196504,-0.0143792070462511,0.00981232853022898,-0.26307278708928
