"","T00C1_hpfc","SPX_hpfc","FTSE_hpfc","IH00C1_hpfc","IF00C1_hpfc"
"2015-06-11",-1.14437050754313,26.5096797655381,100.392842911926,413.729618004178,1033.92212481927
"2015-06-12",-1.35823466194292,12.2425244277459,42.9822208967435,468.032937476399,1099.73369659438
"2015-06-15",-1.77246028331579,3.06054637854127,-26.9290781285678,336.729980517515,942.022929771368
"2015-06-16",-0.857055726815362,15.4335737292349,-22.7828460190178,276.418833900825,815.784237500549
"2015-06-17",-1.03202861493127,20.1114333260609,-47.6908634980937,298.497445209031,865.011643536712
"2015-06-18",-0.747386215882342,41.4539456355938,-15.6449018721387,188.563647764367,690.098834424122
"2015-06-19",-0.983135371286544,30.7609228111754,-8.28671273362165,106.215151502253,529.239139142158
"2015-06-23",-1.09928261382188,46.1274391169638,125.919371003324,105.84958841346,497.425601413559
"2015-06-24",-1.12583406978114,31.1065245851201,140.843777326933,177.464546583677,630.451046194953
"2015-06-25",-1.22279541105437,25.4491612433743,108.923379137885,62.4575703446698,365.30809282702
"2015-06-26",-1.32017184415843,25.2550812016476,59.9263195924382,-156.773869328511,-3.41089995289536
"2015-06-29",-1.49796807015634,-17.9559939497604,-68.1093031776667,-182.03232727832,-195.313724410938
"2015-06-30",-1.29618824440514,-11.8343530600078,-162.365415811883,20.8797064568943,178.39182859703
"2015-07-01",-1.41483590306115,3.13972244408753,-69.4539167960644,-120.840182916433,-137.301951050725
"2015-07-02",-1.45391404648853,3.17595602744882,-42.2166375006387,-66.7944188226593,-59.402847215512
"2015-07-03",-0.853425090215333,NA,-81.4953805865594,-201.385374735778,-250.518587003606
"2015-07-06",-0.163370848781265,-4.15593014278763,-126.131931264096,-30.8153965194709,-134.456872966824
"2015-07-07",0.186247216048333,9.12378478769125,NA,-30.8867467929596,-470.825304102041
"2015-07-08",-0.304572289964155,-24.8251766088733,-165.598041056796,-268.001675437614,-696.631423827653
"2015-07-09",0.0341691619579955,-19.4730955316768,-69.1054093501353,-7.16241956738859,-342.282580941717
"2015-07-10",-0.17752977351024,6.56975708183769,28.2543329218361,104.028894484859,22.2141637173269
"2015-07-13",-0.419670455818073,30.2931183435919,98.4795833905987,59.5701433469393,-50.9481092032253
"2015-07-14",-0.582254171032,40.3967226498592,119.978728008304,-17.3408393548041,-126.576328238674
"2015-07-15",-0.725282031742919,39.6102918749599,125.720112019718,-12.5062446177952,-261.477400864193
"2015-07-16",-0.428754909861391,57.2735311948172,174.202031075168,49.4717437284995,-103.458182233141
"2015-07-17",-0.392673377495296,60.4061294120809,158.652728857373,90.3909470242269,21.4745805849441
"2015-07-20",-0.457037829523004,62.837751654809,178.120377040927,-2.15083384024854,-144.285816713815
"2015-07-21",-0.681848498506583,54.5680380815537,164.393081719676,-17.3558353382536,-116.54608731027
"2015-07-22",-0.607105428088689,50.3166028763301,68.5888753597244,-41.6262930542802,-131.512884742997
"2015-07-23",-0.34280838006092,39.1330376668767,62.2157224737431,80.6355646014755,116.007185624678
"2015-07-24",-0.408956865263405,17.4569132820868,-6.99844077757272,10.0275264251728,-46.5924272084269
"2015-07-27",-0.245550252832374,6.27778437484163,-75.6657039508909,-212.252652118159,-401.91832219606
"2015-07-28",-0.272587742858284,32.7251983820249,-19.4781537100588,-216.007219708391,-386.577079032627
"2015-07-29",-0.210068433930543,48.8887001455443,62.3021545581751,-151.238337289079,-209.975111275736
"2015-07-30",-0.357991311963051,49.7978209800117,106.253173518616,-210.548076514906,-368.318672687397
"2015-07-31",-0.816355276034104,45.9420719914373,139.762830082836,-200.13844652453,-319.413930234521
"2015-08-03",-0.815159077244052,40.9209437013872,138.219007241641,-198.611369424745,-365.266898635737
"2015-08-04",-0.684401129243625,37.0639076408411,142.299530213472,-111.76868459312,-156.483460576929
"2015-08-05",-0.804079508731177,44.4504184257004,214.282167082618,-138.212149309129,-222.069347757251
"2015-08-06",-0.55419200949962,29.0399153511455,215.114627112447,-139.143474651712,-208.430227191954
"2015-08-07",-0.534736092967786,23.9218193383311,192.674530990712,-105.764314568412,-111.171674101748
"2015-08-10",-0.795708991474935,51.4055393044839,216.569410485418,12.923734509396,76.5008224494015
"2015-08-11",-1.30710771632168,32.1704742785129,151.056717720664,7.9191198693076,54.3818193513762
"2015-08-12",-1.18892894989323,35.026002040341,63.8738152994715,1.42028345667544,29.4658418717297
"2015-08-13",-1.22116883427101,33.2414870719133,67.1780033840825,14.4256639432298,87.7473927987285
"2015-08-14",-0.923823020080045,42.2662793768331,55.7465557338782,18.1336994139572,90.2209627406503
"2015-08-17",-1.2668866531633,54.0397152180127,61.4567183395526,-20.8571780093612,94.8810060345561
"2015-08-18",-1.11035449749173,49.3911133871789,43.5857141484118,-113.348543700716,-144.478060276269
"2015-08-19",-1.2642207933573,32.9497703382121,-73.1292592959526,-117.541964412487,-81.8618583684742
"2015-08-20",-1.20847932207594,-10.0650378913002,-102.581022466579,-144.238960043228,-132.275950697352
"2015-08-21",-1.16312334238496,-74.0440488838839,-276.732365607736,-269.641001904497,-225.925865879754
"2015-08-24",-0.918145613485051,-150.867996061586,-559.446036560927,-481.749501685228,-729.817077854858
