"SPXDate","SPXClose","SPX_hpft","SPX_hpfc"
2011-06-17,1271.5,1284.23358193121,-12.7335819312071
2011-06-20,1278.36,1283.30465032688,-4.94465032687696
2011-06-21,1295.52,1282.3657038071,13.1542961928961
2011-06-22,1287.14,1281.41718516409,5.72281483590766
2011-06-23,1283.5,1280.45954262748,3.04045737251999
2011-06-24,1268.45,1279.49322679248,-11.0432267924814
2011-06-27,1280.1,1278.51868951116,1.5813104888427
2011-06-28,1296.67,1277.53637807072,19.1336219292769
2011-06-29,1307.41,1276.54674041204,30.8632595879572
2011-06-30,1320.64,1275.55023238505,45.0897676149551
2011-07-01,1339.67,1274.54732259728,65.1226774027156
2011-07-05,1337.88,1273.53849829463,64.3415017053704
2011-07-06,1339.22,1272.52427364203,66.6957263579671
2011-07-07,1353.22,1271.50518940065,81.714810599353
2011-07-08,1343.8,1270.48181390094,73.3181860990597
2011-07-11,1319.49,1269.45474925101,50.0352507489918
2011-07-12,1313.64,1268.42462786575,45.2153721342514
2011-07-13,1317.72,1267.39210284259,50.3278971574082
2011-07-14,1308.87,1266.3578459692,42.5121540307988
2011-07-15,1316.14,1265.32254983677,50.8174501632331
2011-07-18,1305.44,1264.2869246093,41.1530753907039
2011-07-19,1326.73,1263.25170145668,63.4782985433177
2011-07-20,1325.84,1262.21762855985,63.62237144015
2011-07-21,1343.8,1261.18548033909,82.6145196609093
2011-07-22,1345.02,1260.15605751364,84.8639424863618
2011-07-25,1337.43,1259.13019495224,78.2998050477612
2011-07-26,1331.94,1258.10876260298,73.8312373970192
2011-07-27,1304.89,1257.09266277996,47.7973372200446
2011-07-28,1300.67,1256.08282831609,44.5871716839082
2011-07-29,1292.28,1255.08021180184,37.1997881981578
2011-08-01,1286.94,1254.0857842582,32.8542157418038
2011-08-02,1254.05,1253.10053208303,0.949467916965796
2011-08-03,1260.34,1252.12545525483,8.21454474516963
2011-08-04,1200.07,1251.16155414457,-51.0915541445664
2011-08-05,1199.38,1250.20983251878,-50.8298325187778
2011-08-08,1119.46,1249.2712730248,-129.811273024799
2011-08-09,1172.53,1248.34683729896,-75.8168372989629
2011-08-10,1120.76,1247.43743331885,-126.677433318849
2011-08-11,1172.64,1246.54393772237,-73.9039377223651
2011-08-12,1178.81,1245.6671747841,-66.8571747840987
2011-08-15,1204.49,1244.80793822972,-40.3179382297207
2011-08-16,1192.76,1243.96699414878,-51.2069941487834
2011-08-17,1193.89,1243.14509196508,-49.2550919650809
2011-08-18,1140.65,1242.34295993547,-101.692959935473
2011-08-19,1123.53,1241.56130595677,-118.031305956772
2011-08-22,1123.82,1240.80079589,-116.980795889998
2011-08-23,1162.35,1240.06204680673,-77.7120468067312
2011-08-24,1177.6,1239.3456274235,-61.745627423496
2011-08-25,1159.27,1238.65207433363,-79.3820743336305
2011-08-26,1176.8,1237.9818986074,-61.181898607402
2011-08-29,1210.08,1237.33557850174,-27.2555785017372
2011-08-30,1212.92,1236.71356698345,-23.7935669834498
2011-08-31,1218.89,1236.11630575298,-17.2263057529811
2011-09-01,1204.42,1235.54422667534,-31.1242266753426
2011-09-02,1173.97,1234.997754495,-61.0277544949982
2011-09-06,1165.24,1234.47730109092,-69.2373010909245
2011-09-07,1198.62,1233.98325311559,-35.3632531155883
2011-09-08,1185.9,1233.51596860165,-47.6159686016535
2011-09-09,1154.23,1233.07579096395,-78.8457909639525
2011-09-12,1162.27,1232.66304393483,-70.3930439348293
2011-09-13,1172.87,1232.27801865491,-59.4080186549063
2011-09-14,1188.68,1231.9209771672,-43.2409771671999
2011-09-15,1209.11,1231.59215695783,-22.4821569578329
2011-09-16,1216.01,1231.29177763884,-15.2817776388431
2011-09-19,1204.09,1231.02004952904,-26.930049529039
2011-09-20,1202.09,1230.77717663035,-28.6871766303524
2011-09-21,1166.76,1230.56335181291,-63.8033518129147
2011-09-22,1129.56,1230.37875608874,-100.818756088742
2011-09-23,1136.43,1230.22354409609,-93.7935440960887
2011-09-26,1162.95,1230.09782879879,-67.147828798789
2011-09-27,1175.38,1230.00168439027,-54.6216843902718
2011-09-28,1151.06,1229.93515730767,-78.8751573076712
2011-09-29,1160.4,1229.89827140974,-69.4982714097439
2011-09-30,1131.42,1229.89101795142,-98.47101795142
2011-10-03,1099.23,1229.91335945987,-130.683359459867
2011-10-04,1123.95,1229.96521775826,-106.015217758257
2011-10-05,1144.03,1230.04646065052,-86.0164606505165
2011-10-06,1164.97,1230.15691211817,-65.1869121181656
2011-10-07,1155.46,1230.29636058699,-74.8363605869901
2011-10-10,1194.89,1230.46456753711,-35.5745675371145
2011-10-11,1195.54,1230.66126351429,-35.1212635142903
2011-10-12,1207.25,1230.8861643592,-23.636164359202
2011-10-13,1203.66,1231.13897139482,-27.4789713948191
2011-10-14,1224.58,1231.41937617386,-6.8393761738565
2011-10-17,1200.86,1231.72705889035,-30.8670588903498
2011-10-18,1225.38,1232.0616969112,-6.68169691119735
2011-10-19,1209.88,1232.42295484406,-22.54295484406
2011-10-20,1215.39,1232.8104945347,-17.4204945347018
2011-10-21,1238.25,1233.22396851053,5.02603148946839
2011-10-24,1254.19,1233.663022098,20.5269779019984
2011-10-25,1229.05,1234.12730270117,-5.07730270117102
2011-10-26,1242,1234.61646620907,7.38353379093066
2011-10-27,1284.59,1235.13016641203,49.4598335879721
2011-10-28,1285.09,1235.66806015239,49.4219398476102
2011-10-31,1253.3,1236.22982471721,17.0701752827858
2011-11-01,1218.28,1236.81515782259,-18.5351578225901
2011-11-02,1237.9,1237.4237642408,0.476235759200083
2011-11-03,1261.15,1238.05534108234,23.0946589176567
2011-11-04,1253.23,1238.70958565468,14.5204143453165
2011-11-07,1261.12,1239.38620481156,21.7337951884372
2011-11-08,1275.92,1240.08491140893,35.8350885910706
2011-11-09,1229.1,1240.80542728664,-11.7054272866396
2011-11-10,1239.7,1241.54748909732,-1.84748909731516
2011-11-11,1263.85,1242.31082865502,21.5391713449802
2011-11-14,1251.78,1243.09517701013,8.68482298987199
2011-11-15,1257.81,1243.90027411648,13.9097258835241
2011-11-16,1236.91,1244.72586351783,-7.81586351783248
2011-11-17,1216.13,1245.57169450767,-29.44169450767
2011-11-18,1215.65,1246.43751314875,-30.7875131487465
2011-11-21,1192.98,1247.32305333375,-54.3430533337501
2011-11-22,1188.04,1248.22803622911,-60.1880362291107
2011-11-23,1161.79,1249.15216053797,-87.3621605379681
2011-11-25,1158.67,1250.09510008421,-91.4251000842115
2011-11-28,1192.55,1251.05649257967,-58.5064925796722
2011-11-29,1195.19,1252.03593794476,-56.845937944757
2011-11-30,1246.96,1253.03301191556,-6.07301191555876
