"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2021-09-09,2608,2497.75012208988,110.24987791012
2021-09-10,2551,2499.86568658483,51.1343134151739
2021-09-13,2528,2501.93186026813,26.0681397318658
2021-09-14,2509,2503.94774914003,5.05225085996512
2021-09-15,2568,2505.91246997617,62.0875300238307
2021-09-16,2667,2507.82514164068,159.174858359325
2021-09-17,2693,2509.68490866197,183.315091338025
2021-09-22,2848,2511.49098136507,336.509018634927
2021-09-23,2915,2513.24264585017,401.757354149828
2021-09-24,2759,2514.93932731669,244.060672683312
2021-09-27,2843,2516.58061703434,326.419382965661
2021-09-28,2891,2518.16620715779,372.83379284221
2021-09-29,2920,2519.69592477026,400.304075229744
2021-09-30,2961,2521.16975106936,439.830248930643
2021-10-08,3098,2522.5878327226,575.4121672774
2021-10-11,3271,2523.95049820545,747.049501794551
2021-10-12,3313,2525.25831384572,787.741686154283
2021-10-13,3036,2526.51215477139,509.487845228608
2021-10-14,2970,2527.71322173112,442.286778268876
