"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2019-04-29,48850,47974.5329267024,875.467073297601
2019-04-30,48930,47958.8045601494,971.195439850599
2019-05-06,48010,47943.0083403409,66.9916596591301
2019-05-07,48290,47927.155640287,362.844359712987
2019-05-08,47840,47911.2578606899,-71.257860689851
2019-05-09,47570,47895.3265522366,-325.326552236648
2019-05-10,47740,47879.3732361595,-139.37323615947
2019-05-13,47660,47863.4092992136,-203.409299213559
2019-05-14,47490,47847.4460705428,-357.446070542804
2019-05-15,47730,47831.4947952099,-101.494795209877
2019-05-16,47790,47815.5665705236,-25.5665705236439
2019-05-17,47630,47799.672451839,-169.672451839031
2019-05-20,47620,47783.8234839429,-163.823483942911
2019-05-21,47700,47768.0306414863,-68.0306414863477
2019-05-22,47160,47752.3048314022,-592.304831402194
2019-05-23,46680,47736.6569325024,-1056.65693250243
2019-05-24,47170,47721.0975787639,-551.097578763866
2019-05-27,47280,47705.6369673837,-425.636967383746
2019-05-28,47130,47690.2850677581,-560.285067758133
2019-05-29,46810,47675.0516733412,-865.051673341175
2019-05-30,46550,47659.9463459883,-1109.94634598828
2019-05-31,46180,47644.9782899771,-1464.97828997706
2019-06-03,46130,47630.1562507782,-1500.15625077822
2019-06-04,46270,47615.4883682991,-1345.48836829908
2019-06-05,46490,47600.9821623427,-1110.98216234275
2019-06-06,46010,47586.6445965415,-1576.6445965415
2019-06-10,46250,47572.4821752924,-1322.48217529242
2019-06-11,46840,47558.5007512708,-718.500751270808
2019-06-12,46460,47544.7056304913,-1084.70563049126
2019-06-13,46270,47531.101821969,-1261.10182196903
2019-06-14,46340,47517.6938863456,-1177.69388634558
2019-06-17,46150,47504.4858629737,-1354.48586297366
2019-06-18,46330,47491.4813043952,-1161.48130439521
2019-06-19,46840,47478.6832032612,-638.683203261188
2019-06-20,46930,47466.0940721134,-536.094072113425
2019-06-21,46850,47453.7161594878,-603.716159487752
2019-06-24,46750,47441.5514923202,-691.551492320153
2019-06-25,47090,47429.6018479948,-339.601847994752
2019-06-26,47210,47417.8687180366,-207.868718036553
2019-06-27,47090,47406.353453592,-316.353453592025
2019-06-28,47010,47395.0573198834,-385.057319883351
2019-07-01,47360,47383.9814513651,-23.9814513651069
2019-07-02,46610,47373.1268233247,-763.126823324672
2019-07-03,46250,47362.4944011361,-1112.49440113612
2019-07-04,46350,47352.0848347279,-1002.08483472791
2019-07-05,46280,47341.8983141682,-1061.89831416821
2019-07-08,46320,47331.9346153027,-1011.93461530274
2019-07-09,46190,47322.1930750318,-1132.19307503182
2019-07-10,46080,47312.672611963,-1232.67261196303
2019-07-11,46590,47303.3716766997,-713.371676699721
2019-07-12,46670,47294.2882103087,-624.28821030875
2019-07-15,46910,47285.4198589778,-375.419858977839
2019-07-16,46910,47276.7640108392,-366.764010839195
2019-07-17,46860,47268.3178988413,-408.31789884135
2019-07-18,46780,47260.0786043269,-480.078604326934
2019-07-19,47970,47252.0430398573,717.956960142725
2019-07-22,47410,47244.2079195477,165.792080452268
2019-07-23,47300,47236.5702542879,63.4297457120756
2019-07-24,47090,47229.1271235003,-139.127123500331
2019-07-25,47020,47221.8756328263,-201.875632826256
2019-07-26,47050,47214.8128303968,-164.812830396837
2019-07-29,46900,47207.9356808968,-307.935680896754
2019-07-30,47240,47201.2410808838,38.7589191162125
2019-07-31,46720,47194.7257996266,-474.72579962665
2019-08-01,46620,47188.3866224161,-568.386622416094
2019-08-02,46440,47182.2201383101,-742.220138310145
2019-08-05,46060,47176.2227014183,-1116.22270141829
2019-08-06,46150,47170.3903590466,-1020.39035904664
2019-08-07,45930,47164.7186970995,-1234.71869709955
2019-08-08,46430,47159.2028796928,-729.202879692756
2019-08-09,46680,47153.8375605587,-473.837560558711
2019-08-12,46750,47148.6170920081,-398.617092008054
2019-08-13,46560,47143.5356304847,-583.535630484732
2019-08-14,46580,47138.5871676608,-558.58716766078
2019-08-15,46440,47133.765453998,-693.765453998047
2019-08-16,46550,47129.0640090609,-579.064009060931
2019-08-19,46610,47124.4760656391,-514.476065639059
2019-08-20,46620,47119.9946171608,-499.994617160749
2019-08-21,46430,47115.6124443899,-685.6124443899
