"USB05YUSDDate","USB05YUSDClose","USB05YUSD_hpft","USB05YUSD_hpfc"
2017-05-24,118.85,118.43900500208,0.410994997920135
2017-05-25,118.766,118.442892921682,0.323107078317771
2017-05-26,118.787,118.44666348312,0.340336516879975
2017-05-29,118.826,118.450310322187,0.375689677812959
2017-05-30,118.914,118.453827215359,0.460172784640989
2017-05-31,118.937,118.457208094406,0.479791905593747
2017-06-01,118.892,118.460447081316,0.431552918683848
2017-06-02,119.099,118.463538496403,0.63546150359736
2017-06-05,118.978,118.466476838366,0.511523161633537
2017-06-06,119.134,118.469256868583,0.664743131417334
2017-06-07,118.993,118.471873559869,0.521126440130959
2017-06-08,118.935,118.474322159822,0.460677840178281
2017-06-09,118.861,118.47659813145,0.384401868550192
2017-06-12,118.788,118.478697128187,0.309302871812568
2017-06-13,118.776,118.480614962366,0.295385037634426
2017-06-14,119.087,118.482347574168,0.604652425831938
2017-06-15,118.86,118.48389102588,0.376108974120443
2017-06-16,118.97,118.485241629724,0.484758370276425
2017-06-19,118.709,118.486395853392,0.222604146608153
2017-06-20,118.841,118.487350364956,0.353649635044214
2017-06-21,118.812,118.488101924502,0.323898075497764
2017-06-22,118.872,118.488647438303,0.383352561697204
2017-06-23,118.89,118.488983946516,0.401016053484424
2017-06-26,118.891,118.489108647761,0.401891352238988
2017-06-27,118.619,118.489018906423,0.129981093576832
2017-06-28,118.649,118.488712253013,0.160287746987489
2017-06-29,118.499,118.488186271768,0.0108137282321494
2017-06-30,118.309,118.487438613185,-0.178438613185014
2017-07-03,118.063,118.486466932229,-0.423466932229477
2017-07-04,118.026,118.485268810108,-0.459268810107729
2017-07-05,118.121,118.483841652981,-0.362841652981248
2017-07-06,118.034,118.482182677169,-0.448182677169297
2017-07-07,117.987,118.480288949006,-0.493288949006248
2017-07-10,118.036,118.478157349566,-0.442157349566106
2017-07-11,118.113,118.475784556017,-0.362784556016945
2017-07-12,118.321,118.473167062757,-0.15216706275665
2017-07-13,118.228,118.470301214223,-0.242301214222738
2017-07-14,118.355,118.467183291953,-0.112183291953006
2017-07-17,118.375,118.463809477328,-0.08880947732752
2017-07-18,118.553,118.460175905355,0.0928240946451712
2017-07-19,118.497,118.456278674332,0.040721325667821
2017-07-20,118.539,118.452113920927,0.0868860790729224
2017-07-21,118.628,118.44767779864,0.180322201360272
2017-07-24,118.516,118.442966496886,0.0730335031143302
2017-07-25,118.195,118.437976279618,-0.242976279618278
2017-07-26,118.468,118.43270344098,0.0352965590199705
2017-07-27,118.388,118.427144174677,-0.0391441746765094
2017-07-28,118.478,118.421294689003,0.0567053109965993
2017-07-31,118.449,118.415151176076,0.0338488239235657
2017-08-01,118.6,118.408709851451,0.191290148549408
2017-08-02,118.485,118.401966944673,0.0830330553272259
2017-08-03,118.668,118.394918764361,0.273081235638793
2017-08-04,118.525,118.387561653457,0.137438346543386
2017-08-07,118.529,118.379892067781,0.149107932219027
2017-08-08,118.506,118.371906519968,0.134093480032275
2017-08-09,118.573,118.363601584285,0.209398415714827
2017-08-10,118.724,118.354973890431,0.369026109569251
2017-08-11,118.883,118.346020154658,0.53697984534176
2017-08-14,118.728,118.336737245762,0.391262754237675
2017-08-15,118.482,118.327122254504,0.154877745496165
2017-08-16,118.665,118.317172433376,0.347827566624066
2017-08-17,118.825,118.306885098892,0.518114901108318
2017-08-18,118.756,118.296257711342,0.459742288657818
