"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2019-11-11,1778,1756.2861164953,21.7138835047016
2019-11-12,1781,1755.57666618429,25.423333815714
2019-11-13,1765.5,1754.85404950938,10.6459504906166
2019-11-14,1747,1754.1179245384,-7.1179245383977
2019-11-15,1757.5,1753.36795373974,4.13204626026051
2019-11-18,1736.5,1752.60379663957,-16.1037966395707
2019-11-19,1737,1751.82511447201,-14.8251144720071
2019-11-20,1744.3,1751.0315618146,-6.73156181459598
2019-11-21,1743.5,1750.22278711673,-6.72278711673266
2019-11-22,1739.5,1749.3984360452,-9.89843604520044
2019-11-25,1742,1748.55815148797,-6.55815148797276
2019-11-26,1760,1747.70157224128,12.2984277587203
2019-11-27,1772,1746.82833439056,25.1716656094406
2019-11-28,1758.5,1745.93807910492,12.5619208950805
2019-11-29,1760,1745.03045795838,14.9695420416189
2019-12-02,1791.5,1744.10512771761,47.3948722823923
2019-12-03,1768,1743.16175133706,24.8382486629411
2019-12-04,1758.5,1742.20001136228,16.2999886377198
2019-12-05,1749,1741.219600606,7.78039939399888
2019-12-06,1762.5,1740.22021861869,22.2797813813089
2019-12-09,1760.5,1739.20156816693,21.2984318330697
2019-12-10,1753,1738.16336122684,14.8366387731572
2019-12-11,1759.5,1737.10531857851,22.3946814214873
2019-12-12,1771.5,1736.02716713484,35.4728328651622
2019-12-13,1764.5,1734.92864306584,29.5713569341609
2019-12-16,1776,1733.80949720449,42.1905027955098
2019-12-17,1764,1732.66949260749,31.3305073925074
2019-12-18,1782,1731.50840977128,50.4915902287213
2019-12-19,1800,1730.32604214319,69.6739578568115
2019-12-20,1801,1729.12220404168,71.8777959583221
2019-12-23,1807.5,1727.89673858557,79.6032614144292
2019-12-24,1819,1726.64951860518,92.3504813948187
2019-12-27,1823.5,1725.38044983557,98.1195501644293
2019-12-30,1823.5,1724.08947618575,99.4105238142461
2019-12-31,1803,1722.77658212342,80.2234178765817
2020-01-02,1800.5,1721.44179320861,79.0582067913875
2020-01-03,1819.5,1720.08516816247,99.4148318375283
2020-01-06,1832,1718.70679838566,113.293201614344
2020-01-07,1818,1717.30681637287,100.69318362713
2020-01-08,1799.6,1715.88540144972,83.7145985502754
2020-01-09,1804,1714.4427745643,89.5572254357001
2020-01-10,1812,1712.97919126898,99.0208087310154
2020-01-13,1798,1711.49494413546,86.5050558645437
2020-01-14,1808,1709.99036666665,98.0096333333528
2020-01-15,1800,1708.46582812315,91.5341718768465
2020-01-16,1809,1706.92173827885,102.078261721154
2020-01-17,1804.5,1705.35854474418,99.1414552558179
2020-01-20,1817,1703.77673732465,113.223262675349
2020-01-21,1826.5,1702.17684680677,124.323153193226
2020-01-22,1809.5,1700.55945077906,108.940549220938
2020-01-23,1795.5,1698.92517822023,96.5748217797714
2020-01-24,1782.5,1697.27470314062,85.2252968593821
2020-01-27,1767.5,1695.60873947071,71.8912605292851
2020-01-28,1752,1693.92803636971,58.0719636302869
2020-01-29,1739.5,1692.23337271378,47.2666272862201
2020-01-30,1729.5,1690.52555138368,38.9744486163182
2020-01-31,1725,1688.8053947983,36.1946052016991
2020-02-03,1695.45,1687.07374148701,8.37625851298753
2020-02-04,1698.5,1685.33144494057,13.168555059435
2020-02-05,1724,1683.57936211213,40.4206378878691
2020-02-06,1740.5,1681.81835539821,58.6816446017852
2020-02-07,1721,1680.04930390359,40.9506960964116
2020-02-10,1707,1678.2731109897,28.7268890103007
2020-02-11,1739,1676.49069694531,62.5093030546852
2020-02-12,1733.5,1674.70299393376,58.7970060662423
2020-02-13,1753.5,1672.91095995719,80.5890400428064
2020-02-14,1720,1671.1155773221,48.8844226779036
2020-02-17,1717,1669.31786164721,47.6821383527856
2020-02-18,1721.5,1667.51884875815,53.9811512418522
2020-02-19,1725,1665.71959419037,59.2804058096251
2020-02-20,1712,1663.92117579301,48.0788242069861
2020-02-21,1711,1662.12469591931,48.875304080685
2020-02-24,1698.5,1660.33127679638,38.1687232036153
2020-02-25,1702.5,1658.54206085441,43.9579391455905
2020-02-26,1702,1656.758206301,45.2417936990047
2020-02-27,1690.5,1654.98088951419,35.5191104858096
2020-02-28,1701,1653.21130557319,47.7886944268118
2020-03-02,1716.5,1651.45066423935,65.0493357606542
2020-03-03,1728,1649.70019502796,78.299804972037
2020-03-04,1723.5,1647.9611543431,75.5388456568982
2020-03-05,1717.5,1646.2348309548,71.2651690451979
2020-03-06,1686,1644.52254485785,41.4774551421511
2020-03-09,1689,1642.82564550519,46.1743544948054
2020-03-10,1702,1641.14549949486,60.8545005051415
2020-03-11,1672,1639.48349251151,32.5165074884852
