"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2015-12-17,1487,1630.29697333059,-143.296973330592
2015-12-18,1516,1630.31570716486,-114.315707164859
2015-12-21,1536,1630.41443050669,-94.4144305066853
2015-12-22,1515,1630.59315003543,-115.593150035433
2015-12-23,1542,1630.85183340364,-88.8518334036378
2015-12-24,1553.5,1631.19040048206,-77.6904004820649
2015-12-29,1604.5,1631.60873441361,-27.1087344136053
2015-12-30,1616.5,1632.10668622724,-15.6066862272406
2015-12-31,1607,1632.68409574619,-25.6840957461906
2016-01-04,1566,1633.3407963425,-67.3407963424975
2016-01-05,1565,1634.07661077149,-69.0766107714863
2016-01-06,1541,1634.89133395245,-93.8913339524545
2016-01-07,1503,1635.78473225124,-132.784732251237
2016-01-08,1512,1636.75653322278,-124.756533222785
2016-01-11,1476.5,1637.80640953411,-161.306409534115
2016-01-12,1466,1638.93398228298,-172.933982282976
2016-01-13,1486.5,1640.1388058894,-153.638805889397
2016-01-14,1511.5,1641.4203632897,-129.920363289701
2016-01-15,1486,1642.77807391194,-156.778073911937
2016-01-18,1495.5,1644.21130348036,-148.71130348036
2016-01-19,1511.5,1645.71935291343,-134.219352913435
2016-01-20,1477.5,1647.30146165832,-169.801461658322
2016-01-21,1491.5,1648.95681368127,-157.456813681272
2016-01-22,1523,1650.68452275949,-127.684522759494
2016-01-25,1519,1652.483637584,-133.483637584
2016-01-26,1566,1654.353154066,-88.3531540660028
2016-01-27,1600.5,1656.29201293995,-55.7920129399541
2016-01-28,1577,1658.29911841884,-81.2991184188434
2016-01-29,1624.5,1660.37335165323,-35.8733516532341
2016-02-01,1650.5,1662.51356018794,-12.0135601879392
2016-02-02,1664.5,1664.71857673935,-0.21857673934651
2016-02-03,1696,1666.98722905774,29.0127709422562
2016-02-04,1715,1669.31834480321,45.6816551967887
2016-02-05,1669.5,1671.71076362847,-2.21076362847095
2016-02-08,1734,1674.16334406922,59.8366559307796
2016-02-09,1685,1676.67494374722,8.32505625278461
2016-02-10,1702.5,1679.24444501841,23.2555549815904
2016-02-11,1709,1681.87073367997,27.1292663200331
2016-02-12,1698.5,1684.55270514187,13.947294858129
2016-02-15,1682,1687.28926602846,-5.28926602845834
2016-02-16,1660.5,1690.07932872917,-29.579328729167
2016-02-17,1670,1692.92180344712,-22.9218034471243
2016-02-18,1704,1695.81558815851,8.18441184149297
2016-02-19,1746,1698.7595713645,47.2404286354984
2016-02-22,1784.5,1701.75264494952,82.7473550504839
2016-02-23,1739,1704.79372032519,34.2062796748132
2016-02-24,1782.5,1707.88174310749,74.6182568925077
2016-02-26,1756.5,1711.01567305206,45.4843269479365
2016-02-29,1765,1714.19450075862,50.8054992413753
2016-03-01,1788.5,1717.41723562834,71.0827643716632
2016-03-02,1815.5,1720.68290806326,94.8170919367355
2016-03-03,1847,1723.99057784832,123.009422151684
2016-03-04,1847.5,1727.33934396189,120.16065603811
2016-03-07,1814,1730.72835622957,83.2716437704321
2016-03-08,1762.5,1734.1568141465,28.3431858534996
2016-03-09,1792,1737.62395162902,54.3760483709813
2016-03-10,1772.5,1741.12901430939,31.3709856906084
2016-03-11,1803,1744.67127029669,58.328729703313
2016-03-14,1784,1748.2500006675,35.7499993324955
2016-03-15,1750,1751.86451060928,-1.86451060927508
2016-03-16,1775,1755.51412008696,19.485879913041
2016-03-17,1843,1759.19814829481,83.801851705189
2016-03-18,1845.5,1762.91592248178,82.5840775182165
2016-03-21,1864,1766.66680453711,97.3331954628924
2016-03-22,1868,1770.45019048701,97.5498095129854
2016-03-23,1835.5,1774.26551659133,61.2344834086702
