"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2011-12-28,24890,27035.0425124967,-2145.04251249666
2011-12-29,24320,27012.5910114353,-2692.59101143532
2011-12-30,24160,26990.7540267805,-2830.7540267805
2012-01-04,23655,26969.5095499245,-3314.50954992446
2012-01-05,24420,26948.8344021367,-2528.83440213667
2012-01-06,24610,26928.7040346042,-2318.7040346042
2012-01-09,24590,26909.0928531946,-2319.09285319459
2012-01-10,24940,26889.9743053171,-1949.97430531707
2012-01-11,25275,26871.3208797598,-1596.32087975983
2012-01-12,25315,26853.1042592703,-1538.10425927027
2012-01-13,25050,26835.2954667417,-1785.29546674174
2012-01-16,25580,26817.8648892769,-1237.86488927687
2012-01-17,26250,26800.782176009,-550.782176009002
2012-01-18,26555,26784.0164643882,-229.016464388177
2012-01-19,26945,26767.5366641923,177.463335807736
2012-01-20,27940,26751.3115905339,1188.68840946611
2012-01-30,27200,26735.310131881,464.689868119017
2012-01-31,27680,26719.5016680584,960.498331941603
2012-02-01,27280,26703.8557709745,576.144229025458
2012-02-02,27335,26688.3424095697,646.65759043033
2012-02-03,27730,26672.9317909383,1057.0682090617
2012-02-06,28605,26657.5943894776,1947.40561052235
2012-02-07,28350,26642.3011165342,1707.69888346582
2012-02-08,29170,26627.0236884336,2542.97631156644
2012-02-09,28795,26611.7345273956,2183.26547260438
2012-02-10,28315,26596.4071068043,1718.59289319574
2012-02-13,28395,26581.0158025175,1813.98419748249
2012-02-14,28255,26565.5357007906,1689.46429920942
2012-02-15,28665,26549.9426377069,2115.05736229309
2012-02-16,27630,26534.2131477067,1095.78685229334
2012-02-17,27860,26518.3246395091,1341.67536049085
2012-02-20,28230,26502.2549747884,1727.74502521159
2012-02-21,28910,26485.982569813,2424.01743018697
2012-02-22,29100,26469.4865550318,2630.51344496824
2012-02-23,29235,26452.7470628849,2782.25293711514
2012-02-24,29215,26435.7453131611,2779.2546868389
2012-02-27,28910,26418.4636757202,2491.53632427975
2012-02-28,29315,26400.8856692546,2914.11433074537
2012-02-29,29430,26382.9958423572,3047.00415764278
2012-03-01,29035,26364.7799481991,2670.22005180088
2012-03-02,29350,26346.2249994603,3003.77500053967
2012-03-05,28920,26327.3191125824,2592.68088741759
2012-03-06,28530,26308.0516456465,2221.94835435346
