"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2020-08-19,14635,14162.962746621,472.037253378977
2020-08-20,14675,14180.03275031,494.967249689993
2020-08-21,14710,14197.1063545814,512.893645418567
2020-08-24,14755,14214.1844463004,540.815553699639
2020-08-25,14590,14231.2681243415,358.731875658546
2020-08-26,14765,14248.3587111308,516.641288869217
2020-08-27,14555,14265.4576773798,289.542322620246
2020-08-28,14605,14282.5667073585,322.433292641533
2020-08-31,14540,14299.6876050222,240.312394977761
2020-09-01,14555,14316.8223076073,238.17769239268
2020-09-02,14505,14333.9728516854,171.027148314582
2020-09-03,14310,14351.1413722814,-41.1413722813711
2020-09-04,14270,14368.3300751157,-98.3300751157091
2020-09-07,14480,14385.5411489028,94.4588510972084
2020-09-08,14485,14402.7767417113,82.2232582887483
2020-09-09,14355,14420.0390406553,-65.0390406552832
2020-09-10,14340,14437.3302668368,-97.3302668367604
2020-09-11,14235,14454.6526144732,-219.652614473192
2020-09-14,14515,14472.0082375496,42.9917624503987
2020-09-15,14570,14489.3991992553,80.6008007446566
2020-09-16,14550,14506.827580551,43.1724194489722
2020-09-17,14505,14524.2954957143,-19.2954957142502
2020-09-18,14640,14541.8050768683,98.1949231316501
2020-09-21,14665,14559.3584481607,105.64155183929
2020-09-22,14525,14576.9577743287,-51.957774328655
2020-09-23,14345,14594.6052637773,-249.605263777263
2020-09-24,13940,14612.3031034346,-672.303103434553
2020-09-25,14090,14630.0533770518,-540.053377051755
2020-09-28,14100,14647.8578904768,-547.857890476789
2020-09-29,14205,14665.7182263216,-460.718226321567
2020-09-30,14145,14683.6357407354,-538.635740735392
2020-10-09,14420,14701.6115994251,-281.611599425112
2020-10-12,14595,14719.6467454474,-124.646745447437
2020-10-13,14620,14737.742005452,-117.742005451954
2020-10-14,14650,14755.8981545644,-105.898154564428
2020-10-15,14680,14774.1159192408,-94.1159192407682
2020-10-16,14710,14792.3959821627,-82.3959821627446
2020-10-19,14800,14810.7389871086,-10.7389871085765
2020-10-20,14750,14829.1455437971,-79.1455437971258
2020-10-21,14720,14847.6162575083,-127.616257508315
2020-10-22,14725,14866.1517008065,-141.151700806454
2020-10-23,14725,14884.7523935044,-159.752393504388
2020-10-26,14740,14903.4187970686,-163.418797068602
2020-10-27,14715,14922.1513069302,-207.15130693024
2020-10-28,14585,14940.9502509699,-355.950250969861
2020-10-29,14630,14959.8158714399,-329.815871439939
2020-10-30,14370,14978.7482634573,-608.748263457252
2020-11-02,14825,14997.7473858061,-172.747385806102
2020-11-03,14760,15016.8129456388,-256.812945638821
2020-11-04,14750,15035.9445787007,-285.944578700732
2020-11-05,14850,15055.1418145811,-205.141814581149
2020-11-06,14845,15074.4040646714,-229.404064671436
2020-11-09,14870,15093.7306555655,-223.730655565513
2020-11-10,14945,15113.1208190308,-168.120819030829
2020-11-11,15180,15132.5736943536,47.4263056464367
2020-11-12,15350,15152.0883513255,197.911648674488
2020-11-13,15530,15171.6638793428,358.336120657247
2020-11-16,15390,15191.29944961,198.700550390033
2020-11-17,15390,15210.9943814535,179.00561854651
2020-11-18,15785,15230.7480763346,554.251923665387
2020-11-19,15755,15250.5600097084,504.439990291553
2020-11-20,15960,15270.4298861353,689.570113864697
2020-11-23,15865,15290.3576186909,574.64238130911
2020-11-24,15880,15310.3434054913,569.656594508704
2020-11-25,16060,15330.3876821869,729.612317813127
2020-11-26,16005,15350.491119901,654.508880099049
2020-11-27,16090,15370.6546913493,719.345308650667
2020-11-30,16485,15390.8796397955,1094.12036020445
2020-12-01,16615,15411.1675058514,1203.83249414864
2020-12-02,16835,15431.520282394,1403.47971760599
2020-12-03,16170,15451.9404599167,718.059540083347
2020-12-04,16350,15472.4311090545,877.568890945497
2020-12-07,16075,15492.9955972598,582.004402740177
2020-12-08,16070,15513.6376547364,556.362345263594
2020-12-09,15955,15534.3612522654,420.638747734556
2020-12-10,16335,15555.1705906056,779.829409394357
2020-12-11,16110,15576.0700443912,533.929955608811
2020-12-14,16315,15597.0643106062,717.93568939379
