"L0Date","L0Close","L0_hpft","L0_hpfc"
2019-01-25,8700,8621.37751990981,78.62248009019
2019-01-28,8665,8613.30085479536,51.6991452046376
2019-01-29,8610,8605.21828605073,4.78171394927325
2019-01-30,8735,8597.12869381755,137.871306182446
2019-01-31,8785,8589.03096021405,195.96903978595
2019-02-11,8585,8580.92402434889,4.07597565110742
2019-02-12,8595,8572.80690633646,22.1930936635368
2019-02-13,8490,8564.67862797599,-74.6786279759878
2019-02-14,8565,8556.53822024043,8.46177975957259
2019-02-15,8505,8548.38468323362,-43.3846832336165
2019-02-18,8535,8540.21702055712,-5.21702055711741
2019-02-20,8730,8532.03421787903,197.965782120968
2019-02-21,8690,8523.83525871098,166.164741289018
2019-02-25,8635,8515.61920839563,119.38079160437
