"GBPUSDDate","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc"
2021-11-29,1.33164,1.3555784342918,-0.0239384342918016
2021-11-30,1.33024,1.35517369164053,-0.0249336916405302
2021-12-01,1.32749,1.35476771890659,-0.0272777189065949
2021-12-02,1.32998,1.35436041237286,-0.0243804123728554
2021-12-03,1.32373,1.35395165704665,-0.0302216570466531
2021-12-06,1.32626,1.35354132785745,-0.0272813278574496
2021-12-07,1.32432,1.35312928724229,-0.0288092872422916
2021-12-08,1.32029,1.35271538636122,-0.0324253863612176
2021-12-09,1.32206,1.35229946446566,-0.030239464465664
2021-12-10,1.32677,1.35188134740372,-0.0251113474037231
2021-12-13,1.3219,1.3514608485237,-0.0295608485237038
2021-12-14,1.32276,1.35103777079389,-0.0282777707938918
2021-12-15,1.32653,1.35061190496331,-0.0240819049633097
2021-12-16,1.33226,1.35018303009209,-0.0179230300920889
2021-12-17,1.32364,1.34975091528587,-0.0261109152858701
2021-12-20,1.3207,1.34931532224163,-0.0286153222416284
2021-12-21,1.32682,1.34887600186314,-0.0220560018631358
2021-12-22,1.33525,1.34843269322575,-0.0131826932257512
2021-12-23,1.34149,1.34798512628775,-0.00649512628775366
2021-12-24,1.33895,1.34753302555825,-0.0085830255582466
2021-12-27,1.3442,1.34707611286149,-0.00287611286149144
2021-12-28,1.343,1.34661410647388,-0.00361410647388401
2021-12-29,1.34915,1.34614672348294,0.00300327651705595
2021-12-30,1.35033,1.34567367948228,0.00465632051772307
2021-12-31,1.35311,1.34519469130689,0.00791530869311094
2022-01-03,1.34786,1.34470947771656,0.00315052228344426
2022-01-04,1.35277,1.34421776074291,0.00855223925709426
2022-01-05,1.35563,1.34371926371989,0.0119107362801129
2022-01-06,1.35366,1.34321371351659,0.0104462864834134
2022-01-07,1.35906,1.3427008419255,0.0163591580745035
2022-01-10,1.35796,1.34218038505719,0.0157796149428052
2022-01-11,1.36347,1.34165208578448,0.0218179142155166
2022-01-12,1.37044,1.34111569350283,0.0293243064971707
2022-01-13,1.37074,1.34057096662633,0.0301690333736692
2022-01-14,1.36818,1.34001767569057,0.0281623243094301
2022-01-17,1.36434,1.3394556037018,0.0248843962981989
2022-01-18,1.35981,1.33888454530748,0.020925454692521
2022-01-19,1.36122,1.33830430544126,0.0229156945587448
2022-01-20,1.35981,1.33771469768648,0.0220953023135179
2022-01-21,1.35545,1.33711554509898,0.0183344549010157
2022-01-24,1.34918,1.33650667986788,0.0126733201321199
2022-01-25,1.35046,1.33588794176099,0.0145720582390094
2022-01-26,1.34657,1.33525917578482,0.0113108242151826
2022-01-27,1.3381,1.33462023296935,0.00347976703064625
2022-01-28,1.34053,1.33397096902004,0.00655903097996242
2022-01-31,1.3445,1.33331124108067,0.0111887589193277
2022-02-01,1.35249,1.33264090900633,0.0198490909936687
2022-02-02,1.35738,1.33195983727707,0.0254201627229311
2022-02-03,1.35993,1.33126789857775,0.0286621014222483
2022-02-04,1.3534,1.3305649761009,0.0228350238990993
2022-02-07,1.35358,1.32985096488682,0.0237290351131846
2022-02-08,1.35488,1.32912576941486,0.0257542305851366
2022-02-09,1.35346,1.32838930397307,0.0250706960269256
2022-02-10,1.35614,1.3276414934952,0.0284985065047961
2022-02-11,1.35592,1.32688227327822,0.0290377267217822
2022-02-14,1.3533,1.32611159039926,0.027188409600738
2022-02-15,1.35432,1.32532940393847,0.0289905960615319
2022-02-16,1.35829,1.3245356842146,0.0337543157854025
2022-02-17,1.36144,1.32373041352994,0.0377095864700568
2022-02-18,1.35874,1.32291358813949,0.0358264118605148
2022-02-21,1.36005,1.3220852198858,0.0379647801142027
2022-02-22,1.35866,1.32124533542069,0.0374146645793116
2022-02-23,1.35466,1.32039397708906,0.0342660229109365
2022-02-24,1.33727,1.31953120270155,0.0177387972984519
2022-02-25,1.34137,1.31865708423298,0.0227129157670188
2022-02-28,1.34218,1.31777170099067,0.0244082990093252
2022-03-01,1.3325,1.31687514167057,0.0156248583294258
2022-03-02,1.34056,1.31596750505801,0.0245924949419858
2022-03-03,1.33487,1.31504889639703,0.0198211036029691
2022-03-04,1.32375,1.31411943109719,0.00963056890280728
2022-03-07,1.31037,1.31317923276134,-0.00280923276133921
2022-03-08,1.31013,1.31222842897318,-0.00209842897317654
2022-03-09,1.31869,1.31126714615519,0.00742285384480758
2022-03-10,1.30822,1.31029550986248,-0.00207550986248131
2022-03-11,1.30369,1.30931364871846,-0.00562364871845725
2022-03-14,1.30017,1.30832169048856,-0.00815169048856105
