"LUMDate","LUMClose","LUM_hpft","LUM_hpfc"
2022-03-01,4554,4691.567226798,-137.567226798
2022-03-02,4852,4707.72050951762,144.279490482378
2022-03-03,5181,4723.83082675307,457.169173246927
2022-03-04,5050,4739.89092189338,310.109078106615
2022-03-07,5464,4755.89372730268,708.106272697316
2022-03-08,5702,4771.83230353195,930.167696468054
2022-03-09,5957,4787.7000038346,1169.2999961654
2022-03-10,5150,4803.49056595812,346.509434041876
2022-03-11,5115,4819.19821099148,295.801789008518
2022-03-14,5143,4834.81730325699,308.182696743014
2022-03-15,4596,4850.34232934935,-254.342329349351
2022-03-16,4604,4865.76790325336,-261.767903253357
2022-03-17,4570,4881.08853381941,-311.088533819411
2022-03-18,4998,4896.29862169295,101.701378307049
2022-03-21,5115,4911.39243892809,203.607561071907
2022-03-22,5212,4926.36429961909,285.635700380911
2022-03-23,5146,4941.20860202248,204.791397977522
2022-03-24,5270,4955.91986246516,314.080137534836
2022-03-25,5320,4970.49268192688,349.507318073116
2022-03-28,5197,4984.92179121518,212.078208784819
2022-03-29,5052,4999.20206561003,52.7979343899688
2022-03-30,5083,5013.32846805599,69.6715319440052
2022-03-31,5010,5027.29598332227,-17.2959833222702
2022-04-01,4884,5041.09962497724,-157.099624977243
2022-04-06,5085,5054.73439943996,30.2656005600429
2022-04-07,4828,5068.19524819071,-240.195248190706
2022-04-08,4837,5081.47712522065,-244.477125220654
2022-04-11,4931,5094.57488523349,-163.574885233488
2022-04-12,4866,5107.48328187633,-241.483281876328
2022-04-13,5025,5120.19700118063,-95.1970011806345
2022-04-14,5163,5132.71062935871,30.2893706412902
2022-04-15,5396,5145.01871327209,250.981286727914
2022-04-18,5282,5157.11581230285,124.884187697145
2022-04-19,5148,5168.9965895783,-20.9965895783014
2022-04-20,5089,5180.65575984811,-91.6557598481106
2022-04-21,5152,5192.08802918273,-40.0880291827303
2022-04-22,5167,5203.2880657658,-36.2880657657971
2022-04-25,4968,5214.25052120981,-246.250521209812
2022-04-26,4995,5224.97003212826,-229.970032128255
2022-04-27,5171,5235.44113334339,-64.4411333433936
2022-04-28,5161,5245.65826461755,-84.6582646175477
2022-04-29,5488,5255.61583907632,232.384160923684
2022-05-05,5653,5265.30823485078,387.691765149221
2022-05-06,5687,5274.72992612901,412.270073870992
2022-05-09,5715,5283.87554735671,431.124452643289
2022-05-10,5496,5292.73990339462,203.260096605383
2022-05-11,5494,5301.31797731338,192.682022686619
2022-05-12,5489,5309.60483620315,179.395163796852
2022-05-13,5665,5317.59562680079,347.404373199213
2022-05-16,5783,5325.28556999866,457.714430001339
2022-05-17,5971,5332.67003029143,638.329969708565
2022-05-18,5897,5339.74456137498,557.255438625024
2022-05-19,5954,5346.50498080409,607.495019195908
2022-05-20,5834,5352.94733648173,481.052663518271
2022-05-23,5915,5359.06792742419,555.932072575806
2022-05-24,5784,5364.86325149617,419.136748503834
2022-05-25,6014,5370.33003636258,643.66996363742
2022-05-26,6244,5375.46518294151,868.534817058494
2022-05-27,6019,5380.26585821805,638.734141781949
2022-05-30,6113,5384.72958819617,728.270411803834
2022-05-31,6240,5388.85416290521,851.145837094793
2022-06-01,6023,5392.63767341416,630.362326585838
2022-06-02,6010,5396.07856262061,613.921437379393
2022-06-06,6298,5399.17553398798,898.824466012018
2022-06-07,6448,5401.92754475089,1046.07245524911
2022-06-08,6571,5404.3339236815,1166.6660763185
2022-06-09,6717,5406.39443195609,1310.60556804391
2022-06-10,6618,5408.1093130043,1209.8906869957
2022-06-13,6496,5409.47935200711,1086.52064799289
2022-06-14,6545,5410.50583426572,1134.49416573428
2022-06-15,6313,5411.19049420496,901.80950579504
2022-06-16,6130,5411.53553520368,718.464464796323
2022-06-17,6277,5411.54353341325,865.456466586754
2022-06-20,5934,5411.21736196979,522.782638030209
2022-06-21,6065,5410.56025175306,654.439748246943
2022-06-22,5842,5409.57564974096,432.424350259044
2022-06-23,5930,5408.26727342988,521.732726570121
2022-06-24,5865,5406.63901906392,458.360980936082
2022-06-27,5891,5404.69499854967,486.305001450329
2022-06-28,5905,5402.43951326203,502.560486737971
2022-06-29,5948,5399.87706559474,548.122934405263
2022-06-30,6041,5397.01236568018,643.987634319819
2022-07-01,5875,5393.85035022183,481.149649778171
2022-07-04,5951,5390.3962221231,560.603777876896
2022-07-05,6040,5386.65538317472,653.344616825281
2022-07-06,5620,5382.63346689805,237.366533101952
2022-07-07,5105,5378.33637688095,-273.336376880949
2022-07-08,5200,5373.77011482983,-173.770114829831
2022-07-11,5276,5368.94056946373,-92.9405694637303
2022-07-12,5378,5363.85355767279,14.1464423272108
2022-07-13,5227,5358.51485792955,-131.514857929549
2022-07-14,5045,5352.93025455351,-307.930254553513
2022-07-15,5101,5347.10547750134,-246.105477501341
2022-07-18,5438,5341.04612944407,96.9538705559266
2022-07-19,5448,5334.75771132166,113.242288678341
2022-07-20,5445,5328.24576415223,116.75423584777
2022-07-21,5300,5321.51587576279,-21.5158757627925
2022-07-22,5308,5314.57368224218,-6.57368224218224
2022-07-25,5000,5307.42481078563,-307.42481078563
2022-07-26,5334,5300.07488587069,33.9251141293072
2022-07-27,5263,5292.52940489772,-29.5294048977198
2022-07-28,5488,5284.79387929077,203.206120709233
2022-07-29,5462,5276.87380826772,185.126191732277
2022-08-01,5445,5268.77477504351,176.225224956488
2022-08-02,5262,5260.50243935664,1.49756064336195
2022-08-03,5155,5252.06253378994,-97.0625337899438
2022-08-04,4869,5243.46079154573,-374.460791545727
2022-08-05,4850,5234.70290570398,-384.702905703984
2022-08-08,5068,5225.79441455838,-157.794414558375
2022-08-09,5011,5216.74069738133,-205.740697381334
2022-08-10,4990,5207.54706821942,-217.547068219425
2022-08-11,5180,5198.21875607459,-18.2187560745872
2022-08-12,5018,5188.76090002315,-170.76090002315
2022-08-15,4873,5179.17863161104,-306.178631611039
2022-08-16,4718,5169.47701179811,-451.477011798106
2022-08-17,4702,5159.66097498258,-457.660974982585
2022-08-18,4884,5149.73526893987,-265.735268939872
2022-08-19,4896,5139.70445226699,-243.704452266986
2022-08-22,4942,5129.57297371665,-187.572973716652
2022-08-23,5093,5119.34518130386,-26.3451813038627
2022-08-24,5200,5109.0253455087,90.9746544912952
2022-08-25,5309,5098.61772592086,210.38227407914
2022-08-26,5244,5088.12661973563,155.873380264368
2022-08-29,5141,5077.55641111186,63.4435888881418
2022-08-30,5251,5066.91154863987,184.088451360131
2022-08-31,5091,5056.19650713526,34.80349286474
2022-09-01,4701,5045.41583750842,-344.415837508418
2022-09-02,4605,5034.57410505592,-429.574105055924
2022-09-05,4818,5023.67573270684,-205.675732706841
2022-09-06,4783,5012.72496582152,-229.72496582152
2022-09-07,4638,5001.72596474227,-363.725964742274
2022-09-08,4443,4990.68279485229,-547.682794852289
2022-09-09,4468,4979.59937118511,-511.599371185113
2022-09-13,4660,4968.47938238426,-308.479382384264
2022-09-14,4688,4957.32630561853,-269.326305618531
2022-09-15,4765,4946.14349054387,-181.143490543869
2022-09-16,4524,4934.93417548756,-410.934175487564
2022-09-19,4498,4923.70152389938,-425.701523899377
2022-09-20,4598,4912.44852936545,-314.448529365452
2022-09-21,4637,4901.17800950403,-264.178009504031
2022-09-22,4539,4889.892651953,-350.892651953003
2022-09-23,4554,4878.59503514966,-324.595035149665
2022-09-26,4465,4867.28759248642,-402.28759248642
2022-09-27,4509,4855.9726231811,-346.972623181103
2022-09-28,4315,4844.65226016209,-529.65226016209
2022-09-29,4507,4833.32849293319,-326.328492933194
2022-09-30,4510,4822.00309206128,-312.003092061282
2022-10-10,5034,4810.67769322215,223.322306777852
2022-10-11,4972,4799.35380312205,172.646196877948
2022-10-12,4816,4788.03302077971,27.9669792202885
2022-10-13,4710,4776.71701657886,-66.7170165788557
2022-10-14,4832,4765.40747246363,66.5925275363702
2022-10-17,4743,4754.10604280004,-11.1060428000433
2022-10-18,4781,4742.81440948077,38.1855905192289
2022-10-19,4670,4731.53424980772,-61.5342498077188
2022-10-20,4773,4720.26725686716,52.7327431328434
2022-10-21,4723,4709.01509830958,13.984901690424
2022-10-24,4721,4697.77946358307,23.2205364169339
2022-10-25,4813,4686.56204791649,126.437952083507
2022-10-26,4665,4675.36455613725,-10.3645561372458
2022-10-27,4766,4664.18874533697,101.811254663031
2022-10-28,4754,4653.03636832304,100.963631676957
2022-10-31,4643,4641.90921998763,1.09078001236784
2022-11-01,4813,4630.80913695701,182.190863042988
2022-11-02,4801,4619.73795630855,181.262043691455
2022-11-03,4790,4608.69759042981,181.302409570193
2022-11-04,4920,4597.69002663496,322.30997336504
2022-11-07,4905,4586.71732718114,318.28267281886
2022-11-08,4922,4575.78168755554,346.218312444462
2022-11-09,4843,4564.88543481054,278.114565189463
2022-11-10,4725,4554.03103911144,170.968960888564
2022-11-11,4870,4543.22108558474,326.778914415262
2022-11-14,4778,4532.45823002867,245.541769971326
2022-11-15,4639,4521.74526331879,117.254736681206
2022-11-16,4511,4511.08507782769,-0.0850778276916486
2022-11-17,4439,4500.48061439637,-61.4806143963649
2022-11-18,4261,4489.93481383057,-228.934813830567
2022-11-21,4159,4479.45059152264,-320.450591522635
2022-11-22,4247,4469.03076823239,-222.030768232389
2022-11-23,4312,4458.67803225809,-146.678032258088
2022-11-24,4170,4448.39498011955,-278.394980119552
