"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2017-04-21",4791750,4799651.1842999,-7901.18429989961
"2017-04-24",4769500,4798285.20098908,-28785.2009890801
"2017-04-25",4794000,4796930.00111991,-2930.00111990589
"2017-04-26",4796500,4795585.58647384,914.413526159206
"2017-04-27",4804750,4794251.95762122,10498.0423787822
"2017-04-28",4795500,4792929.11551033,2570.8844896717
"2017-05-02",4788750,4791617.06542896,-2867.06542895975
"2017-05-03",4783250,4790315.81372758,-7065.81372757714
"2017-05-04",4759000,4789025.36557153,-30025.3655715297
"2017-05-05",4761750,4787745.72320545,-25995.7232054541
"2017-05-08",4742000,4786476.87646268,-44476.8764626777
"2017-05-09",4735000,4785218.80443096,-50218.8044309643
"2017-05-10",4712750,4783971.46781311,-71221.4678131136
"2017-05-11",4737500,4782734.80655349,-45234.8065534887
"2017-05-12",4726000,4781508.73115638,-55508.7311563794
"2017-05-15",4744000,4780293.13342781,-36293.1334278115
"2017-05-16",4739500,4779087.88222874,-39587.882228741
"2017-05-17",4741250,4777892.831418,-36642.8314179991
"2017-05-18",4741750,4776707.81849038,-34957.8184903799
"2017-05-19",4736750,4775532.66579398,-38782.6657939787
"2017-05-22",4713500,4774367.18122678,-60867.1812267828
"2017-05-23",4710250,4773211.15665555,-62961.1566555494
"2017-05-24",4725500,4772064.358787,-46564.3587870025
"2017-05-25",4719000,4770926.52830226,-51926.5283022563
"2017-05-26",4719500,4769797.38663458,-50297.3866345841
"2017-05-31",4741000,4768676.63375292,-27676.6337529245
"2017-06-05",4725000,4767563.94883531,-42563.9488353101
"2017-06-12",4767000,4766458.99961935,541.000380649916
"2017-06-13",4771750,4765361.43624844,6388.56375156241
"2017-06-14",4776250,4764270.90908958,11979.0909104152
"2017-06-15",4771500,4763187.07115059,8312.9288494143
"2017-06-16",4767250,4762109.58039091,5140.4196090912
"2017-06-19",4796500,4761038.09820625,35461.9017937517
"2017-06-20",4791750,4759972.28811716,31777.7118828397
"2017-06-21",4774250,4758911.82830271,15338.1716972916
"2017-06-22",4761250,4757856.41007758,3393.58992242309
"2017-06-23",4771000,4756805.73109665,14194.2689033503
"2017-06-26",4787500,4755759.49041757,31740.5095824284
"2017-06-27",4785250,4754717.39296533,30532.6070346652
"2017-06-28",4779250,4753679.15678518,25570.8432148153
"2017-06-29",4770750,4752644.51254331,18105.4874566904
"2017-06-30",4763750,4751613.20147586,12136.7985241371
"2017-07-03",4745000,4750584.97230307,-5584.97230307385
"2017-07-04",4749750,4749559.57876204,190.421237958151
"2017-07-05",4761750,4748536.77228126,13213.2277187399
"2017-07-06",4767500,4747516.30436793,19983.6956320679
"2017-07-07",4755750,4746497.93199108,9252.06800891677
