"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2020-09-01,4037,3785.86219381428,251.137806185716
2020-09-02,4033,3791.57523386214,241.424766137861
2020-09-03,3942,3797.33377499793,144.666225002074
2020-09-04,3910,3803.13991107757,106.860088922434
2020-09-07,3864,3808.99579575627,55.0042042437298
2020-09-08,3842,3814.90362686066,27.0963731393403
2020-09-09,3752,3820.8656249541,-68.8656249541012
2020-09-10,3732,3826.88402180027,-94.8840218002709
2020-09-11,3779,3832.96102069692,-53.9610206969176
2020-09-14,3786,3839.09878572029,-53.0987857202906
2020-09-15,3730,3845.2994586413,-115.2994586413
2020-09-16,3689,3851.56515928218,-162.565159282182
2020-09-17,3687,3857.89795980468,-170.897959804682
2020-09-18,3723,3864.299865173,-141.299865172996
2020-09-21,3661,3870.77280970881,-209.772809708808
2020-09-22,3652,3877.31866932613,-225.318669326133
2020-09-23,3666,3883.9392332274,-217.939233227403
2020-09-24,3674,3890.63619747704,-216.636197477042
2020-09-25,3660,3897.41116805253,-237.411168052527
2020-09-28,3669,3904.2656613826,-235.2656613826
2020-09-29,3674,3911.20109575976,-237.20109575976
2020-09-30,3692,3918.21879222697,-226.21879222697
2020-10-09,3772,3925.31997377795,-153.319973777947
2020-10-12,3795,3932.5057698968,-137.505769896803
2020-10-13,3784,3939.77724669089,-155.777246690889
2020-10-14,3757,3947.13541342872,-190.135413428722
2020-10-15,3725,3954.58121498645,-229.581214986449
2020-10-16,3740,3962.1155176458,-222.115517645804
2020-10-19,3740,3969.73909278921,-229.739092789209
2020-10-20,3745,3977.45261998524,-232.452619985238
2020-10-21,3788,3985.2566838374,-197.256683837402
2020-10-22,3810,3993.15177286302,-183.151772863023
2020-10-23,3785,4001.13829404119,-216.138294041193
2020-10-26,3795,4009.21657864367,-214.216578643672
2020-10-27,3812,4017.38686859916,-205.386868599156
2020-10-28,3854,4025.64931728784,-171.649317287838
2020-10-29,3842,4034.00399319109,-192.003993191094
2020-10-30,3864,4042.45089383766,-178.450893837658
