"J0Date","J0Close","J0_hpft","J0_hpfc"
2012-06-14,1732,1770.28587071106,-38.2858707110597
2012-06-15,1747,1766.38603808594,-19.3860380859353
2012-06-18,1749,1762.49401926057,-13.4940192605654
2012-06-19,1748,1758.61132233693,-10.6113223369295
2012-06-20,1765,1754.73944983914,10.2605501608621
2012-06-21,1732,1750.87989990501,-18.8798999050147
2012-06-25,1698,1747.03417491364,-49.0341749136355
2012-06-26,1691,1743.20376943995,-52.2037694399512
2012-06-27,1679,1739.39015779013,-60.3901577901257
2012-06-28,1660,1735.59479269136,-75.5947926913606
2012-06-29,1667,1731.81910190806,-64.8191019080554
2012-07-02,1716,1728.06448195671,-12.0644819567088
2012-07-03,1731,1724.33230256024,6.66769743976445
2012-07-04,1752,1720.62392845455,31.3760715454525
2012-07-05,1771,1716.94072713172,54.0592728682796
2012-07-06,1762,1713.28407905346,48.7159209465356
2012-07-09,1739,1709.65538702737,29.3446129726254
2012-07-10,1734,1706.05607399838,27.9439260016158
2012-07-11,1726,1702.48757504112,23.5124249588774
2012-07-12,1779,1698.95133678119,80.0486632188119
2012-07-13,1782,1695.4488155633,86.551184436701
2012-07-16,1729,1691.98150082106,37.0184991789409
2012-07-17,1697,1688.5509177648,8.44908223519765
2012-07-18,1728,1685.15860690689,42.8413930931082
2012-07-19,1728,1681.80611225215,46.1938877478545
2012-07-20,1664,1678.49499551432,-14.4949955143164
2012-07-23,1597,1675.22683750197,-78.2268375019655
2012-07-24,1618,1672.00321303184,-54.0032130318378
2012-07-25,1563,1668.82566458486,-105.825664584855
2012-07-26,1581,1665.69571231927,-84.6957123192745
2012-07-27,1600,1662.61483264922,-62.6148326492225
2012-07-30,1560,1659.5844669791,-99.5844669790963
2012-07-31,1567,1656.60603083074,-89.6060308307407
2012-08-01,1584,1653.68089856185,-69.6808985618546
2012-08-02,1590,1650.81040749051,-60.8104074905064
2012-08-03,1568,1647.99586613166,-79.9958661316569
2012-08-06,1565,1645.2385578634,-80.2385578633967
2012-08-07,1569,1642.53973299708,-73.5397329970808
2012-08-08,1577,1639.90060867652,-62.90060867652
2012-08-09,1585,1637.32237164713,-52.3223716471337
2012-08-10,1582,1634.80618265382,-52.8061826538167
2012-08-13,1562,1632.35318081357,-70.3531808135658
2012-08-14,1512,1629.96448341524,-117.96448341524
2012-08-15,1519,1627.64117866665,-108.641178666651
2012-08-16,1517,1625.38430601379,-108.384306013786
2012-08-17,1524,1623.19485999468,-99.1948599946754
2012-08-20,1521,1621.07379034575,-100.073790345749
2012-08-21,1490,1619.02200580022,-129.022005800225
2012-08-22,1489,1617.0403737249,-128.040373724903
2012-08-23,1498,1615.12970815396,-117.129708153959
2012-08-24,1477,1613.29077019482,-136.290770194825
2012-08-27,1478,1611.52427253828,-133.524272538279
2012-08-28,1444,1609.83087153801,-165.830871538005
2012-08-29,1417,1608.21116835415,-191.211168354148
2012-08-30,1401,1606.66569559902,-205.665695599022
2012-08-31,1396,1605.19490684581,-209.194906845808
2012-09-03,1382,1603.79917065398,-221.799170653979
2012-09-04,1333,1602.4787691101,-269.478769110095
2012-09-05,1296,1601.23389261766,-305.233892617662
2012-09-06,1314,1600.06462018886,-286.064620188861
2012-09-07,1358,1598.97090466424,-240.970904664241
2012-09-10,1417,1597.95258063696,-180.95258063696
2012-09-11,1421,1597.00938309209,-176.009383092088
2012-09-12,1452,1596.14097221663,-144.140972216631
2012-09-13,1439,1595.34693544202,-156.34693544202
2012-09-14,1449,1594.6268006179,-145.6268006179
2012-09-17,1439,1593.98003096626,-154.980030966265
2012-09-18,1471,1593.40602951281,-122.406029512812
2012-09-19,1466,1592.90413522068,-126.904135220679
2012-09-20,1430,1592.47363645562,-162.473636455622
2012-09-21,1433,1592.11376912582,-159.113769125822
2012-09-24,1444,1591.82370197973,-147.823701979726
2012-09-25,1446,1591.60253799432,-145.60253799432
2012-09-26,1438,1591.44931904239,-153.449319042385
2012-09-27,1456,1591.36302681052,-135.363026810519
2012-09-28,1465,1591.34257955539,-126.342579555386
2012-10-08,1469,1591.38683957995,-122.386839579953
2012-10-09,1525,1591.49461696257,-66.494616962573
2012-10-10,1542,1591.66467119134,-49.6646711913377
2012-10-11,1527,1591.89573426849,-64.8957342684871
2012-10-12,1555,1592.1865176669,-37.1865176669004
2012-10-15,1529,1592.53570603392,-63.5357060339219
2012-10-16,1550,1592.94196864567,-42.9419686456744
2012-10-17,1569,1593.40394851518,-24.4039485151844
2012-10-18,1583,1593.92027090493,-10.9202709049285
2012-10-19,1555,1594.48955098976,-39.4895509897635
2012-10-22,1573,1595.11039943054,-22.1103994305424
2012-10-23,1539,1595.78141056471,-56.7814105647069
2012-10-24,1549,1596.50116959026,-47.5011695902593
2012-10-25,1622,1597.26823823388,24.7317617661183
2012-10-26,1609,1598.08115858735,10.9188414126519
2012-10-29,1565,1598.93848296561,-33.93848296561
2012-10-30,1566,1599.8387681968,-33.8387681968032
2012-10-31,1578,1600.78055708032,-22.7805570803176
2012-11-01,1595,1601.762378428,-6.76237842799887
2012-11-02,1594,1602.78275163517,-8.78275163516529
2012-11-05,1587,1603.84019330169,-16.8401933016899
2012-11-06,1580,1604.9332163972,-24.9332163972016
2012-11-07,1551,1606.06032693016,-55.0603269301635
2012-11-08,1546,1607.22002060265,-61.2200206026498
2012-11-09,1560,1608.41077035709,-48.4107703570919
2012-11-12,1576,1609.63102382994,-33.6310238299357
2012-11-13,1568,1610.87920864655,-42.8792086465524
2012-11-14,1567,1612.1537385307,-45.1537385306998
2012-11-15,1573,1613.45300948148,-40.4530094814804
2012-11-16,1588,1614.77539883333,-26.7753988333331
2012-11-19,1566,1616.119267199,-50.1192671989979
2012-11-20,1570,1617.48296412344,-47.48296412344
2012-11-21,1593,1618.86481843421,-25.8648184342132
2012-11-22,1587,1620.26313933136,-33.2631393313625
2012-11-23,1588,1621.67622532347,-33.6762253234683
2012-11-26,1571,1623.10236116947,-52.1023611694689
2012-11-27,1568,1624.53981770792,-56.5398177079162
2012-11-28,1556,1625.98684424034,-69.9868442403398
2012-11-29,1533,1627.44166669697,-94.4416666969724
2012-11-30,1528,1628.90248207829,-100.902482078293
2012-12-03,1561,1630.36744834639,-69.3674483463914
2012-12-04,1563,1631.83468175434,-68.8346817543408
2012-12-05,1586,1633.30226988149,-47.3022698814924
2012-12-06,1574,1634.76827185372,-60.7682718537171
2012-12-07,1604,1636.23072724402,-32.2307272440231
2012-12-10,1624,1637.68765050625,-13.6876505062526
2012-12-11,1622,1639.13704277137,-17.1370427713724
2012-12-12,1626,1640.57689951242,-14.5768995124193
2012-12-13,1619,1642.00520911866,-23.005209118656
2012-12-14,1658,1643.41995395385,14.5800460461521
2012-12-17,1669,1644.81910687236,24.1808931276424
2012-12-18,1677,1646.20064675531,30.7993532446914
2012-12-19,1679,1647.56256247929,31.437437520705
2012-12-20,1673,1648.90285565206,24.0971443479432
2012-12-21,1677,1650.21954087633,26.7804591236715
2012-12-24,1673,1651.51064271566,21.4893572843442
2012-12-25,1706,1652.77419680355,53.2258031964451
2012-12-26,1729,1654.00824765636,74.9917523436411
2012-12-27,1729,1655.21086179179,73.7891382082131
2012-12-28,1759,1656.38013672614,102.619863273858
2012-12-31,1824,1657.51420047724,166.485799522758
2013-01-04,1839,1658.61122348182,180.388776518184
2013-01-07,1816,1659.669444995,156.330555005003
2013-01-08,1833,1660.6871788375,172.312821162501
2013-01-09,1813,1661.66280345081,151.337196549189
2013-01-10,1809,1662.59476850368,146.405231496325
2013-01-11,1763,1663.48158622135,99.5184137786454
2013-01-14,1826,1664.32182934735,161.678170652649
2013-01-15,1808,1665.1141117619,142.885888238099
2013-01-16,1787,1665.8571141766,121.142885823404
2013-01-17,1818,1666.54957636634,151.450423633663
2013-01-18,1865,1667.19028818152,197.809711818481
2013-01-21,1864,1667.77810207616,196.221897923841
2013-01-22,1871,1668.31195227071,202.688047729289
2013-01-23,1881,1668.790854096,212.209145903996
2013-01-24,1865,1669.21390666592,195.786093334079
2013-01-25,1872,1669.58029681302,202.41970318698
2013-01-28,1869,1669.88929230004,199.110707699965
2013-01-29,1886,1670.14024456187,215.859755438128
2013-01-30,1885,1670.3325873378,214.667412662197
2013-01-31,1902,1670.46584359477,231.534156405228
2013-02-01,1904,1670.53962503457,233.460374965433
2013-02-04,1920,1670.55363906598,249.446360934017
2013-02-05,1912,1670.50768960093,241.492310399068
2013-02-06,1908,1670.40168366233,237.598316337667
2013-02-07,2038,1670.23562809649,367.764371903514
2013-02-08,2023,1670.00962796309,352.990372036914
2013-02-18,1971,1669.72394034096,301.276059659043
2013-02-19,1975,1669.37896822081,305.621031779191
2013-02-20,1950,1668.97523912889,281.024760871113
2013-02-21,1885,1668.51340692301,216.486593076995
2013-02-22,1838,1667.99424162505,170.00575837495
2013-02-25,1839,1667.41860274388,171.581397256125
2013-02-26,1811,1666.78742006189,144.212579938105
2013-02-27,1842,1666.10169428637,175.898305713633
2013-02-28,1867,1665.36248573623,201.63751426377
2013-03-01,1836,1664.57092743968,171.42907256032
2013-03-04,1773,1663.72823577371,109.271764226289
2013-03-05,1805,1662.83569797735,142.164302022652
2013-03-06,1791,1661.8946464581,129.1053535419
2013-03-07,1763,1660.90647238843,102.093527611575
2013-03-08,1750,1659.87262030777,90.127379692225
2013-03-11,1734,1658.79457695696,75.2054230430421
2013-03-12,1735,1657.67386633186,77.3261336681435
2013-03-13,1715,1656.51204351524,58.4879564847633
2013-03-14,1653,1655.31069555339,-2.31069555339403
2013-03-15,1668,1654.07143366914,13.9285663308623
2013-03-18,1658,1652.7958681301,5.20413186989872
2013-03-19,1674,1651.48561496152,22.5143850384815
2013-03-20,1684,1650.14229233983,33.8577076601652
2013-03-21,1697,1648.76752774781,48.232472252186
2013-03-22,1679,1647.36296266391,31.637037336094
2013-03-25,1683,1645.93025850373,37.0697414962694
2013-03-26,1660,1644.47108976049,15.5289102395068
2013-03-27,1658,1642.98714625051,15.0128537494855
2013-03-28,1609,1641.48012420915,-32.4801242091547
2013-03-29,1581,1639.95172607746,-58.9517260774595
2013-04-01,1570,1638.40364087051,-68.4036408705131
2013-04-02,1621,1636.8375332351,-15.8375332351035
2013-04-03,1619,1635.25503954273,-16.2550395427255
2013-04-08,1635,1633.65778961823,1.34221038176601
2013-04-09,1630,1632.04740656738,-2.04740656737978
2013-04-10,1613,1630.42551405068,-17.4255140506831
2013-04-11,1597,1628.79373488233,-31.7937348823269
2013-04-12,1599,1627.15368467354,-28.1536846735357
2013-04-15,1548,1625.50696589325,-77.5069658932454
2013-04-16,1551,1623.85516937282,-72.8551693728168
2013-04-17,1526,1622.19985390533,-96.1998539053294
2013-04-18,1530,1620.54254816848,-90.5425481684787
2013-04-19,1548,1618.8847410748,-70.8847410748013
2013-04-22,1520,1617.22788411018,-97.2278841101849
2013-04-23,1492,1615.57339945962,-123.573399459619
2013-04-24,1518,1613.922669118,-95.9226691180012
2013-04-25,1515,1612.27702399994,-97.2770239999363
2013-04-26,1499,1610.63775536946,-111.637755369461
2013-05-02,1472,1609.00611428022,-137.006114280225
2013-05-03,1497,1607.38330563928,-110.383305639277
2013-05-06,1517,1605.7704777209,-88.7704777208975
2013-05-07,1504,1604.16873317133,-100.168733171325
2013-05-08,1533,1602.57913794263,-69.5791379426291
