"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2011-12-22,14865,15464.5989429158,-599.598942915793
2011-12-23,15000,15459.3973287765,-459.397328776458
2011-12-26,14640,15454.3871673062,-814.387167306163
2011-12-27,14710,15449.5632698762,-739.563269876214
2011-12-28,14755,15444.9201112234,-689.920111223416
2011-12-29,14575,15440.4518603779,-865.451860377884
2011-12-30,14795,15436.1524011849,-641.152401184857
2012-01-04,14775,15432.0152597464,-657.015259746363
2012-01-05,14865,15428.0336971379,-563.033697137863
2012-01-06,14730,15424.2007028517,-694.200702851685
2012-01-09,14740,15420.5090336439,-680.509033643925
2012-01-10,14920,15416.9511593167,-496.951159316663
2012-01-11,15080,15413.5192683765,-333.519268376532
2012-01-12,15185,15410.2053439105,-225.205343910469
2012-01-13,15290,15407.001231142,-117.001231141995
2012-01-16,15310,15403.8986822041,-93.8986822041032
2012-01-17,15525,15400.8894008659,124.110599134102
2012-01-18,15505,15397.9650520824,107.034947917621
2012-01-19,15660,15395.1173521115,264.882647888513
2012-01-20,15855,15392.3380614545,462.661938545501
2012-01-30,15940,15389.6190501048,550.380949895178
2012-01-31,16065,15386.9523793016,678.047620698415
2012-02-01,15775,15384.3303377894,390.66966221059
2012-02-02,15945,15381.7454945905,563.254505409542
2012-02-03,15955,15379.190580214,575.809419786036
2012-02-06,16195,15376.658557996,818.341442003974
2012-02-07,16010,15374.1426292891,635.857370710876
2012-02-08,16270,15371.6363337152,898.363666284783
2012-02-09,16145,15369.1334737341,775.866526265861
2012-02-10,16130,15366.6282231531,763.371776846877
2012-02-13,15995,15364.1150764914,630.884923508564
2012-02-14,15825,15361.5888438155,463.411156184462
2012-02-15,15945,15359.0445959744,585.955404025636
2012-02-16,15605,15356.4775953724,248.522404627611
2012-02-17,15575,15353.8833466244,221.116653375594
2012-02-20,15605,15351.2574570745,253.742542925537
2012-02-21,15780,15348.5956254673,431.404374532651
2012-02-22,15825,15345.8936554348,479.106344565213
2012-02-23,15865,15343.1475289337,521.852471066254
2012-02-24,15805,15340.3534259644,464.646574035641
2012-02-27,15950,15337.5077422398,612.492257760219
2012-02-28,16125,15334.6070655392,790.392934460785
2012-02-29,16140,15331.6482368216,808.351763178374
2012-03-01,15890,15328.6284237626,561.371576237408
2012-03-02,16075,15325.545128178,749.454871822049
2012-03-05,16020,15322.3960839318,697.603916068223
2012-03-06,15760,15319.1793346828,440.82066531725
2012-03-07,15515,15315.893212451,199.106787548998
2012-03-08,15730,15312.5362314741,417.463768525881
2012-03-09,15890,15309.1069882923,580.893011707669
2012-03-12,15900,15305.6042520088,594.395747991221
2012-03-13,16050,15302.0270318444,747.972968155556
2012-03-14,15905,15298.3745827193,606.625417280653
2012-03-15,15875,15294.6464687357,580.353531264279
2012-03-16,15980,15290.8425047503,689.157495249746
2012-03-19,15875,15286.9627455147,588.037254485318
