"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2022-10-11,11134,10357.3516221347,776.648377865292
2022-10-12,11202,10363.868417855,838.13158214502
2022-10-13,11138,10370.2566883266,767.743311673423
2022-10-14,11084,10376.5152432375,707.484756762525
2022-10-17,10864,10382.6432096298,481.356790370245
2022-10-18,10864,10388.6400069909,475.35999300908
2022-10-19,10922,10394.5052537826,527.494746217395
2022-10-20,10714,10400.2387649607,313.76123503927
2022-10-21,10742,10405.8405735263,336.159426473675
2022-10-24,10754,10411.3108421768,342.689157823233
2022-10-25,10644,10416.6498725645,227.350127435483
2022-10-26,10416,10421.8581079956,-5.85810799557969
2022-10-27,10560,10426.9360857533,133.063914246716
2022-10-28,10528,10431.8843407,96.1156593000116
2022-10-31,10620,10436.7034627009,183.296537299068
2022-11-01,10664,10441.3940813517,222.605918648327
2022-11-02,10898,10445.956902015,452.043097984973
2022-11-03,10718,10450.3927220704,267.607277929641
2022-11-04,10768,10454.7025257537,313.297474246347
2022-11-07,10760,10458.8874079191,301.112592080923
2022-11-08,10800,10462.9485929248,337.051407075229
2022-11-09,10780,10466.8874295972,313.112570402784
2022-11-10,10826,10470.7054060862,355.294593913813
2022-11-11,10926,10474.4041399695,451.595860030482
2022-11-14,10936,10477.9853956899,458.014604310103
2022-11-15,10916,10481.4511243612,434.54887563879
2022-11-16,10734,10484.8034664224,249.196533577576
2022-11-17,10636,10488.0447419373,147.955258062706
2022-11-18,10544,10491.1773739776,52.8226260224338
2022-11-21,10552,10494.2038467738,57.7961532261515
2022-11-22,10536,10497.126666391,38.8733336089549
2022-11-23,10532,10499.9483627852,32.0516372148418
2022-11-24,10544,10502.6714819807,41.3285180192824
2022-11-25,10416,10505.2985832511,-89.2985832511441
2022-11-28,10538,10507.8322429534,30.1677570465996
2022-11-29,10468,10510.2750005318,-42.2750005318441
2022-11-30,10582,10512.6294079011,69.3705920988943
2022-12-01,10552,10514.8979995009,37.1020004990513
2022-12-02,10526,10517.0833384461,8.91666155390212
2022-12-05,10412,10519.1880031881,-107.18800318806
2022-12-06,10312,10521.2145758638,-209.214575863776
2022-12-07,10370,10523.1655943033,-153.165594303265
2022-12-08,10422,10525.0435098554,-103.043509855354
2022-12-09,10374,10526.8507105566,-152.850710556578
2022-12-12,10328,10528.5895418494,-200.589541849384
2022-12-13,10366,10530.262285994,-164.262285993956
2022-12-14,10094,10531.8711423346,-437.871142334627
2022-12-15,10062,10533.4182423166,-471.418242316578
2022-12-16,10094,10534.9055363863,-440.905536386311
2022-12-19,10100,10536.3347801253,-436.334780125319
2022-12-20,9870,10537.7075468623,-667.70754686231
2022-12-21,9878,10539.0252295628,-661.025229562826
2022-12-22,9854,10540.288945189,-686.288945188972
2022-12-23,9764,10541.4995374615,-777.499537461482
2022-12-26,10050,10542.6575664169,-492.657566416851
2022-12-27,10238,10543.7632707046,-305.763270704583
2022-12-28,10212,10544.8166853294,-332.816685329379
2022-12-29,10064,10545.8177189057,-481.817718905658
2022-12-30,9986,10546.7661424748,-560.766142474779
2023-01-03,10076,10547.6615279141,-471.661527914132
2023-01-04,10000,10548.5032153029,-548.503215302946
2023-01-05,9924,10549.2903497542,-625.290349754204
2023-01-06,9944,10550.0218496522,-606.02184965219
2023-01-09,10160,10550.6963749107,-390.696374910694
2023-01-10,10136,10551.3123349393,-415.312334939264
2023-01-11,10192,10551.8679776488,-359.867977648826
2023-01-12,10370,10552.3613792769,-182.36137927692
2023-01-13,10396,10552.7904673059,-156.790467305932
2023-01-16,10416,10553.1530938377,-137.153093837656
2023-01-17,10454,10553.4470461631,-99.4470461631002
2023-01-18,10588,10553.6700548792,34.3299451207695
2023-01-19,10706,10553.8198094761,152.18019052389
2023-01-20,10714,10553.8940136342,160.105986365765
2023-01-30,10672,10553.8904339392,118.109566060803
2023-01-31,10588,10553.806903158,34.193096841955
2023-02-01,10680,10553.6413028794,126.358697120643
2023-02-02,10418,10553.3915288263,-135.391528826253
2023-02-03,10458,10553.055528953,-95.055528953001
2023-02-06,10446,10552.6311952486,-106.631195248584
2023-02-07,10498,10552.1163804099,-54.1163804098824
2023-02-08,10542,10551.5088930567,-9.5088930567405
2023-02-09,10464,10550.8065194395,-86.8065194394582
2023-02-10,10688,10550.0070418776,137.992958122355
2023-02-13,10736,10549.1082068088,186.891793191178
2023-02-14,10928,10548.1078177112,379.892182288811
2023-02-15,11022,10547.0037553162,474.996244683842
2023-02-16,11094,10545.7940573875,548.205942612515
2023-02-17,11230,10544.4769580336,685.52304196645
2023-02-20,11228,10543.050917969,684.949082031042
2023-02-21,11262,10541.5146812755,720.485318724517
2023-02-22,11216,10539.8672751661,676.132724833904
2023-02-23,11234,10538.1080246725,695.891975327473
2023-02-24,11314,10536.2365343131,777.763465686907
2023-02-27,11318,10534.2526962599,783.747303740055
2023-02-28,10878,10532.1567241813,345.843275818661
2023-03-01,11002,10529.9491557149,472.050844285069
2023-03-02,11094,10527.6306714566,566.369328543393
2023-03-03,11216,10525.2021471281,690.797852871892
2023-03-06,11104,10522.6646925662,581.335307433789
2023-03-07,11092,10520.0197031558,571.98029684417
2023-03-08,10718,10517.2688145821,200.731185417929
2023-03-09,10796,10514.4138989641,281.586101035932
2023-03-10,10732,10511.456911395,220.543088605024
2023-03-13,10774,10508.3999233644,265.600076635617
2023-03-14,10706,10505.2450975252,200.754902474759
2023-03-15,10710,10501.9947063193,208.005293680688
2023-03-16,10296,10498.6511051722,-202.651105172246
2023-03-17,10504,10495.2167354907,8.78326450927727
2023-03-20,10298,10491.6939549134,-193.693954913416
2023-03-21,10338,10488.0851247096,-150.085124709633
2023-03-22,10244,10484.3925260838,-240.392526083786
2023-03-23,10110,10480.6183782007,-370.618378200668
2023-03-24,10198,10476.7648008567,-278.764800856727
2023-03-27,10136,10472.8337606498,-336.833760649791
2023-03-28,10266,10468.8271089471,-202.827108947092
2023-03-29,10188,10464.7465578827,-276.746557882686
2023-03-30,10242,10460.5937357499,-218.593735749921
2023-03-31,10232,10456.3701564464,-224.370156446382
2023-04-03,10180,10452.0772435118,-272.077243511799
2023-04-04,10206,10447.7163277402,-241.716327740153
2023-04-06,10260,10443.2886274596,-183.288627459564
2023-04-07,10424,10438.7952610827,-14.7952610826593
2023-04-10,10382,10434.2372712576,-52.2372712576177
2023-04-11,10286,10429.615694517,-143.615694516978
2023-04-12,10196,10424.9315458005,-228.931545800493
2023-04-13,10208,10420.185780683,-212.185780682957
2023-04-14,10226,10415.3792601081,-189.379260108108
2023-04-17,10430,10410.5127573105,19.4872426895374
2023-04-18,10542,10405.5869672428,136.413032757202
2023-04-19,10550,10400.6025929133,149.397407086651
2023-04-20,10462,10395.5603937179,66.4396062821053
2023-04-21,10236,10390.4611908071,-154.461190807072
2023-04-24,10596,10385.3058327948,210.694167205221
2023-04-25,10466,10380.0951044473,85.9048955527208
