"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2015-11-17,3699.2,3471.87937578863,227.320624211369
2015-11-18,3698.8,3466.39161308163,232.408386918369
2015-11-19,3775,3460.9322788255,314.067721174503
2015-11-20,3774.8,3455.49986463815,319.300135361854
2015-11-23,3619.2,3450.09299196037,169.107008039632
2015-11-24,3655.6,3444.71041421887,210.889585781129
2015-11-25,3695,3439.35095474231,255.649045257689
2015-11-26,3662,3434.01352403268,227.986475967323
2015-11-27,3487.4,3428.69713826705,58.7028617329547
2015-11-30,3485.8,3423.40090786287,62.3990921371334
2015-12-01,3524.8,3418.12396750294,106.676032497061
2015-12-02,3692,3412.8654776635,279.134522336504
2015-12-03,3699.6,3407.62464291618,291.975357083815
2015-12-04,3638,3402.40078321575,235.599216784251
2015-12-07,3620,3397.19333920776,222.806660792241
2015-12-08,3579.2,3392.00184892505,187.198151074948
2015-12-09,3593.2,3386.82594249977,206.374057500225
2015-12-10,3567,3381.66532744422,185.334672555784
2015-12-11,3593,3376.51979657747,216.480203422527
2015-12-14,3711.8,3371.38921932848,340.410780671524
2015-12-15,3670.4,3366.27355461043,304.126445389572
2015-12-16,3675,3361.17290204863,313.82709795137
2015-12-17,3754.4,3356.08748698204,398.31251301796
2015-12-18,3772,3351.01766447308,420.982335526924
2015-12-21,3800.2,3345.96395423057,454.236045769427
2015-12-22,3819,3340.92704998053,478.072950019474
2015-12-23,3805,3335.90783321182,469.092166788182
2015-12-24,3775.2,3330.90738302952,444.292616970484
2015-12-25,3806.8,3325.92697244252,480.873027557484
2015-12-28,3647.6,3320.9680581124,326.631941887603
2015-12-29,3695.8,3316.03229547429,379.767704525706
2015-12-30,3696.8,3311.12147497997,385.678525020031
2015-12-31,3658.2,3306.23754406168,351.962455938316
2016-01-04,3425,3301.38260957584,123.617390424162
2016-01-05,3408.8,3296.55892386591,112.241076134086
2016-01-06,3465,3291.76879037387,173.231209626127
2016-01-07,3245.2,3287.01455893761,-41.8145589376056
